engine,window,period,protective_stop_pct,initial_equity,final_equity,return_pct,maxdd_pct,maxdd_usd,events,delta_return_vs_base_pct,delta_maxdd_vs_base_pct,delta_equity_vs_base_usd
v2,1y,2025-04-10 to 2026-04-10,4.0,10000.0,15118.0354659542,51.180354659542004,22.997771551413088,3866.328500134294,118,-359.66659671740473,9.770077591414365,-35966.659671740475
v2,10d,2026-03-31 to 2026-04-10,5.0,10000.0,13050.676467365096,30.506764673650967,6.2202807291184605,811.7887133191089,5,-14.706876986032281,-0.5942954309940642,-1470.6876986032275
v2,1m,2026-03-11 to 2026-04-10,5.0,10000.0,14492.143614910321,44.9214361491032,13.28418119641124,1925.162617048829,13,-10.717497247429407,0.5330251525554797,-1071.74972474294
v2,2m,2026-02-08 to 2026-04-10,5.0,10000.0,14591.19983231958,45.91199832319581,14.150085122965434,2064.6671967352104,21,-80.93977194788326,1.3989290791096725,-8093.977194788327
v2,3m,2026-01-08 to 2026-04-10,5.0,10000.0,15760.199557884274,57.60199557884273,20.75773438265162,3271.4603624014526,31,-113.22862248829561,8.006578338795855,-11322.86224882956
v2,4m,2025-12-09 to 2026-04-10,5.0,10000.0,19591.701781233987,95.91701781233988,20.757734382651662,4066.7934167897856,39,-74.56803166692924,8.006578338795912,-7456.803166692927
v2,5m,2025-11-08 to 2026-04-10,5.0,10000.0,16191.595109238318,61.915951092383196,20.757734382651645,3361.008305090105,44,-176.02435026536256,8.006578338795867,-17602.43502653626
v2,6m,2025-10-09 to 2026-04-10,5.0,10000.0,13214.106009080504,32.14106009080504,24.829320360128772,3280.972713721625,55,-149.32532427707855,12.07816431627302,-14932.532427707858
v2,1y,2025-04-10 to 2026-04-10,5.0,10000.0,15990.304559535469,59.90304559535468,28.00459837713856,4478.020571179183,115,-350.94390578159204,14.776904417139837,-35094.390578159204
v2,10d,2026-03-31 to 2026-04-10,6.0,10000.0,12906.834875445566,29.068348754455652,6.279174587051731,811.7887133191089,5,-16.145292905227596,-0.5354015730607937,-1614.529290522758
v2,1m,2026-03-11 to 2026-04-10,6.0,10000.0,13676.424973173915,36.76424973173915,16.654866401960483,2281.573359231228,13,-18.87468366479346,3.903710358104723,-1887.4683664793465
v2,2m,2026-02-08 to 2026-04-10,6.0,10000.0,14164.636762018223,41.64636762018223,16.654866401960486,2363.019425237124,20,-85.20540265089683,3.9037103581047248,-8520.540265089685
v2,3m,2026-01-08 to 2026-04-10,6.0,10000.0,17025.509001183338,70.25509001183339,16.654866401960476,2840.2852237075913,28,-100.57552805530496,3.9037103581047106,-10057.552805530497
v2,4m,2025-12-09 to 2026-04-10,6.0,10000.0,18594.655697342016,85.94655697342016,16.654866401960472,3102.058553046485,35,-84.53849250584896,3.9037103581047212,-8453.849250584899
v2,5m,2025-11-08 to 2026-04-10,6.0,10000.0,16312.72593112655,63.127259311265504,16.65486640196048,2721.374991922421,41,-174.81304204648026,3.9037103581047017,-17481.304204648026
v2,6m,2025-10-09 to 2026-04-10,6.0,10000.0,13139.973128666345,31.399731286663446,28.551460819925786,3757.8851871699,51,-150.06665308122015,15.800304776070034,-15006.665308122017
v2,1y,2025-04-10 to 2026-04-10,6.0,10000.0,18069.544098970964,80.69544098970964,33.365332227721154,6038.976580488636,107,-330.15151038723707,20.13763826772243,-33015.15103872371
v2,10d,2026-03-31 to 2026-04-10,7.0,10000.0,12769.650638218782,27.696506382187813,7.054971289574658,912.0858141891767,5,-17.517135277495434,0.24039512946213293,-1751.7135277495418
v2,1m,2026-03-11 to 2026-04-10,7.0,10000.0,13896.800798084989,38.9680079808499,8.610320187043055,1211.4223129299553,12,-16.67092541568271,-4.140835856812705,-1667.0925415682723
v2,2m,2026-02-08 to 2026-04-10,7.0,10000.0,13930.971447067928,39.30971447067928,14.871389662619096,2097.463394141956,19,-87.54205580039978,2.1202336187633346,-8754.20558003998
v2,3m,2026-01-08 to 2026-04-10,7.0,10000.0,17487.04251387873,74.87042513878728,20.082707468263923,3555.4949230958773,27,-95.96019292835106,7.331551424408158,-9596.019292835106
v2,4m,2025-12-09 to 2026-04-10,7.0,10000.0,16905.248793269006,69.05248793269006,20.082707468263923,3437.2036443804973,34,-101.43256154657907,7.331551424408172,-10143.256154657909
v2,5m,2025-11-08 to 2026-04-10,7.0,10000.0,14088.906801846533,40.88906801846532,20.08270746826391,2864.580249414934,40,-197.05123333928043,7.331551424408131,-19705.123333928044
