candidate_id,avg_return_pct,avg_max_dd_pct,score,ret_wins,dd_wins,both_wins,delta_avg_return_pct,delta_avg_max_dd_pct,strict_accept
C_sp5.0_rv85_tr1.20_th1.20,375.5745,26.125,349.4495,4,2,2,72.1335,-0.52,True
C_sp5.0_rv90_tr1.20_th1.20,375.5745,26.125,349.4495,4,2,2,72.1335,-0.52,True
C_sp5.5_rv70_tr1.05_th1.20,374.264,26.0025,348.2615,4,2,2,70.823,-0.6425,True
C_sp5.5_rv70_tr1.10_th1.15,373.7741,26.07,347.7041,4,2,2,70.3331,-0.575,True
C_sp4.8_rv70_tr1.15_th1.15,373.4917,26.065,347.4267,4,2,2,70.0507,-0.58,True
C_sp5.0_rv70_tr1.20_th1.20,373.1615,26.125,347.0365,4,2,2,69.7204,-0.52,True
C_sp5.0_rv75_tr1.15_th1.15,372.4891,26.065,346.4241,4,2,2,69.0481,-0.58,True
C_sp5.0_rv80_tr1.15_th1.15,372.4891,26.065,346.4241,4,2,2,69.0481,-0.58,True
C_sp5.0_rv85_tr1.15_th1.15,372.4891,26.065,346.4241,4,2,2,69.0481,-0.58,True
C_sp5.0_rv90_tr1.15_th1.15,372.4891,26.065,346.4241,4,2,2,69.0481,-0.58,True
C_sp5.2_rv75_tr1.20_th1.20,371.8041,26.155,345.6491,4,2,2,68.3631,-0.49,True
C_sp5.2_rv80_tr1.20_th1.20,371.8041,26.155,345.6491,4,2,2,68.3631,-0.49,True
C_sp5.2_rv85_tr1.20_th1.20,371.8041,26.155,345.6491,4,2,2,68.3631,-0.49,True
C_sp5.2_rv90_tr1.20_th1.20,371.8041,26.155,345.6491,4,2,2,68.3631,-0.49,True
C_sp5.0_rv70_tr1.15_th1.15,370.1074,26.065,344.0424,4,2,2,66.6664,-0.58,True
C_sp4.8_rv75_tr1.05_th1.15,369.2639,26.205,343.0589,4,2,2,65.8229,-0.44,True
C_sp4.8_rv80_tr1.05_th1.15,369.2639,26.205,343.0589,4,2,2,65.8229,-0.44,True
C_sp4.8_rv85_tr1.05_th1.15,369.2639,26.205,343.0589,4,2,2,65.8229,-0.44,True
C_sp4.8_rv90_tr1.05_th1.15,369.2639,26.205,343.0589,4,2,2,65.8229,-0.44,True
C_sp5.2_rv70_tr1.20_th1.20,369.1689,26.155,343.014,4,2,2,65.7279,-0.49,True
C_sp5.2_rv75_tr1.15_th1.15,368.7619,26.095,342.6669,4,2,2,65.3209,-0.55,True
C_sp5.2_rv80_tr1.15_th1.15,368.7619,26.095,342.6669,4,2,2,65.3209,-0.55,True
C_sp5.2_rv85_tr1.15_th1.15,368.7619,26.095,342.6669,4,2,2,65.3209,-0.55,True
C_sp5.2_rv90_tr1.15_th1.15,368.7619,26.095,342.6669,4,2,2,65.3209,-0.55,True
C_sp5.5_rv75_tr1.20_th1.20,368.4474,26.2,342.2474,4,2,2,65.0064,-0.445,True
C_sp5.5_rv80_tr1.20_th1.20,368.4474,26.2,342.2474,4,2,2,65.0064,-0.445,True
C_sp5.5_rv85_tr1.20_th1.20,368.4474,26.2,342.2474,4,2,2,65.0064,-0.445,True
C_sp5.5_rv90_tr1.20_th1.20,368.4474,26.2,342.2474,4,2,2,65.0064,-0.445,True
C_sp4.8_rv75_tr1.25_th1.20,367.3072,26.195,341.1122,3,2,2,63.8662,-0.45,True
C_sp4.8_rv80_tr1.25_th1.20,367.3072,26.195,341.1122,3,2,2,63.8662,-0.45,True
C_sp4.8_rv85_tr1.25_th1.20,367.3072,26.195,341.1122,3,2,2,63.8662,-0.45,True
C_sp4.8_rv90_tr1.25_th1.20,367.3072,26.195,341.1122,3,2,2,63.8662,-0.45,True
C_sp4.8_rv70_tr1.05_th1.15,367.1165,26.205,340.9115,4,2,2,63.6754,-0.44,True
C_sp5.2_rv70_tr1.15_th1.15,366.1609,26.095,340.0659,4,2,2,62.7199,-0.55,True
C_sp5.0_rv75_tr1.05_th1.15,366.13,26.205,339.925,4,2,2,62.6889,-0.44,True
C_sp5.0_rv80_tr1.05_th1.15,366.13,26.205,339.925,4,2,2,62.6889,-0.44,True
C_sp5.0_rv85_tr1.05_th1.15,366.13,26.205,339.925,4,2,2,62.6889,-0.44,True
C_sp5.0_rv90_tr1.05_th1.15,366.13,26.205,339.925,4,2,2,62.6889,-0.44,True
C_sp5.5_rv70_tr1.20_th1.20,365.5857,26.2,339.3857,4,2,2,62.1447,-0.445,True
C_sp5.5_rv75_tr1.15_th1.15,365.4425,26.14,339.3025,4,2,2,62.0014,-0.505,True
C_sp5.5_rv80_tr1.15_th1.15,365.4425,26.14,339.3025,4,2,2,62.0014,-0.505,True
C_sp5.5_rv85_tr1.15_th1.15,365.4425,26.14,339.3025,4,2,2,62.0014,-0.505,True
C_sp5.5_rv90_tr1.15_th1.15,365.4425,26.14,339.3025,4,2,2,62.0014,-0.505,True
C_sp4.8_rv70_tr1.25_th1.20,365.1838,26.195,338.9888,3,2,2,61.7427,-0.45,True
C_sp5.0_rv75_tr1.25_th1.20,364.1985,26.195,338.0035,3,2,2,60.7575,-0.45,True
C_sp5.0_rv80_tr1.25_th1.20,364.1985,26.195,338.0035,3,2,2,60.7575,-0.45,True
C_sp5.0_rv85_tr1.25_th1.20,364.1985,26.195,338.0035,3,2,2,60.7575,-0.45,True
C_sp5.0_rv90_tr1.25_th1.20,364.1985,26.195,338.0035,3,2,2,60.7575,-0.45,True
C_sp4.8_rv75_tr1.20_th1.15,364.0372,26.125,337.9122,4,2,2,60.5962,-0.52,True
