Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %
2026-02-06,9815.09,SOXL,09:56,SOXL,15:55,SOXL,SOXL,11000.08,1184.99,12.07,15.6
2026-02-09,11000.08,SOXL,no change,no change,no change,no change,SOXL,11382.97,382.9,3.48,12.66
2026-02-10,11382.97,SOXL,no change,no change,no change,no change,SOXL,11254.53,-128.44,-1.13,13.65
2026-02-11,11254.53,SOXL,no change,no change,no change,no change,SOXL,12123.89,869.36,7.72,6.98
2026-02-12,12123.89,SOXL,no change,no change,no change,no change,SOXL,11231.06,-892.83,-7.36,13.83
2026-02-13,11231.06,SOXL,no change,no change,no change,no change,SOXL,11423.84,192.78,1.72,12.35
2026-02-17,11423.84,SOXL,no change,no change,no change,no change,SOXL,11413.18,-10.66,-0.09,12.43
2026-02-18,11413.18,SOXL,no change,no change,no change,no change,SOXL,11804.07,390.89,3.42,9.43
2026-02-19,11804.07,SOXL,no change,no change,no change,no change,SOXL,11528.67,-275.4,-2.33,11.55
2026-02-20,11528.67,SOXL,no change,no change,no change,no change,SOXL,11867.15,338.48,2.94,8.95
2026-02-23,11867.15,SOXL,no change,no change,no change,no change,SOXL,11601.06,-266.09,-2.24,10.99
2026-02-24,11601.06,SOXL,no change,no change,no change,no change,SOXL,12199.41,598.35,5.16,6.4
2026-02-25,12199.41,SOXL,no change,no change,no change,no change,SOXL,12775.08,575.68,4.72,1.98
2026-02-26,12775.08,SOXL,no change,no change,no change,no change,SOXL,11568.65,-1206.44,-9.44,11.24
2026-02-27,11568.65,SOXL,no change,no change,15:55,SOXS,SOXS,11118.45,-450.2,-3.89,14.69
2026-03-02,11118.45,SOXS,no change,no change,no change,no change,SOXS,11119.07,0.62,0.01,14.69
2026-03-03,11119.07,SOXS,no change,no change,no change,no change,SOXS,12787.15,1668.09,15.0,1.89
2026-03-04,12787.15,SOXS,no change,no change,no change,no change,SOXS,11953.35,-833.81,-6.52,8.29
2026-03-05,11953.35,SOXS,13:43,SOXS,15:55,SOXS,SOXS,12834.8,881.45,7.37,1.53
2026-03-06,12834.8,SOXS,09:30,SOXS,15:55,SOXL,SOXL,13604.14,769.34,5.99,0.0
2026-03-09,13604.14,SOXL,15:43,SOXL,15:55,SOXL,SOXL,15008.82,1404.68,10.33,0.0
2026-03-10,15008.82,SOXL,no change,no change,no change,no change,SOXL,15345.97,337.15,2.25,0.0
2026-03-11,15345.97,SOXL,no change,no change,15:55,SOXS,SOXS,15893.67,547.7,3.57,0.0
2026-03-12,15893.67,SOXS,10:02,SOXS,15:55,SOXL,SOXL,17125.66,1231.99,7.75,0.0
2026-03-13,17125.66,SOXL,no change,no change,no change,no change,SOXL,17245.32,119.66,0.7,0.0
2026-03-16,17245.32,SOXL,15:13,SOXL,15:55,SOXL,SOXL,18612.47,1367.15,7.93,0.0
2026-03-17,18612.47,SOXL,no change,no change,no change,no change,SOXL,18986.73,374.26,2.01,0.0
2026-03-18,18986.73,SOXL,no change,no change,no change,no change,SOXL,18872.37,-114.36,-0.6,0.6
2026-03-19,18872.37,SOXL,no change,no change,no change,no change,SOXL,19056.03,183.66,0.97,0.0
2026-03-20,19056.03,SOXL,no change,no change,no change,no change,SOXL,17584.99,-1471.05,-7.72,7.72
2026-03-23,17584.99,SOXL,10:50,SOXL,15:55,SOXS,SOXS,19247.85,1662.86,9.46,0.0
2026-03-24,19247.85,SOXS,11:24,SOXS,no change,no change,CASH,18334.18,-913.67,-4.75,4.75
2026-03-25,18334.18,CASH,no change,no change,15:55,SOXS,SOXS,18332.35,-1.83,-0.01,4.76
2026-03-26,18332.35,SOXS,11:46,SOXS,15:55,SOXL,SOXL,19882.0,1549.65,8.45,0.0
2026-03-27,19882.0,SOXL,no change,no change,no change,no change,SOXL,18907.98,-974.01,-4.9,4.9
2026-03-30,18907.98,SOXL,no change,no change,no change,no change,SOXL,16556.15,-2351.83,-12.44,16.73
2026-03-31,16556.15,SOXL,10:09,SOXL,15:55,SOXL,SOXL,17756.37,1200.21,7.25,10.69
2026-04-01,17756.37,SOXL,14:02,SOXL,15:55,SOXL,SOXL,19583.77,1827.4,10.29,1.5
2026-04-02,19583.77,SOXL,no change,no change,no change,no change,SOXL,19793.84,210.07,1.07,0.44
2026-04-06,19793.84,SOXL,no change,no change,no change,no change,SOXL,20521.6,727.76,3.68,0.0
2026-04-07,20521.6,SOXL,19:33,SOXL,15:55,SOXL,SOXL,23682.28,3160.68,15.4,0.0
2026-04-08,23682.28,SOXL,07:15,SOXL,15:55,SOXL,SOXL,27431.96,3749.69,15.83,0.0
2026-04-09,27431.96,SOXL,no change,no change,no change,no change,SOXL,29295.38,1863.42,6.79,0.0
2026-04-10,29295.38,SOXL,no change,no change,no change,no change,SOXL,31132.33,1836.94,6.27,0.0
