Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %
2026-02-03,24824.11,SOXS,07:31,SOXS,15:55,SOXL,SOXL,23622.43,-1201.68,-4.84,12.02
2026-02-04,23622.43,SOXL,no change,no change,15:55,SOXS,SOXS,20705.39,-2917.04,-12.35,22.89
2026-02-05,20705.39,SOXS,no change,no change,no change,no change,SOXS,20883.23,177.84,0.86,22.22
2026-02-06,20883.23,SOXS,04:26,SOXS,15:55,SOXL,SOXL,19714.0,-1169.23,-5.6,26.58
2026-02-09,19714.0,SOXL,no change,no change,no change,no change,SOXL,20400.22,686.22,3.48,24.02
2026-02-10,20400.22,SOXL,no change,no change,no change,no change,SOXL,20170.02,-230.19,-1.13,24.88
2026-02-11,20170.02,SOXL,no change,no change,no change,no change,SOXL,21728.07,1558.05,7.72,19.08
2026-02-12,21728.07,SOXL,no change,no change,no change,no change,SOXL,20127.96,-1600.11,-7.36,25.04
2026-02-13,20127.96,SOXL,no change,no change,15:55,SOXS,SOXS,20467.31,339.36,1.69,23.77
2026-02-17,20467.31,SOXS,no change,no change,15:55,SOXL,SOXL,20405.58,-61.73,-0.3,24.0
2026-02-18,20405.58,SOXL,no change,no change,no change,no change,SOXL,21104.46,698.88,3.42,21.4
2026-02-19,21104.46,SOXL,no change,no change,no change,no change,SOXL,20612.07,-492.39,-2.33,23.23
2026-02-20,20612.07,SOXL,no change,no change,no change,no change,SOXL,21217.23,605.16,2.94,20.98
2026-02-23,21217.23,SOXL,no change,no change,no change,no change,SOXL,20741.49,-475.74,-2.24,22.75
2026-02-24,20741.49,SOXL,no change,no change,no change,no change,SOXL,21811.27,1069.79,5.16,18.77
2026-02-25,21811.27,SOXL,no change,no change,no change,no change,SOXL,22840.53,1029.25,4.72,14.93
2026-02-26,22840.53,SOXL,no change,no change,no change,no change,SOXL,20683.54,-2156.98,-9.44,22.97
2026-02-27,20683.54,SOXL,no change,no change,15:55,SOXS,SOXS,19878.64,-804.91,-3.89,25.97
2026-03-02,19878.64,SOXS,no change,no change,no change,no change,SOXS,19879.74,1.1,0.01,25.96
2026-03-03,19879.74,SOXS,no change,no change,no change,no change,SOXS,22862.11,2982.37,15.0,14.85
2026-03-04,22862.11,SOXS,no change,no change,no change,no change,SOXS,21371.34,-1490.76,-6.52,20.41
2026-03-05,21371.34,SOXS,13:43,SOXS,15:55,SOXS,SOXS,22947.29,1575.95,7.37,14.54
2026-03-06,22947.29,SOXS,09:30,SOXS,15:55,SOXL,SOXL,24322.8,1375.51,5.99,9.41
2026-03-09,24322.8,SOXL,15:43,SOXL,15:55,SOXS,SOXS,26834.21,2511.41,10.33,0.06
2026-03-10,26834.21,SOXS,04:36,SOXS,15:55,SOXL,SOXL,25554.09,-1280.12,-4.77,4.83
2026-03-11,25554.09,SOXL,no change,no change,15:55,SOXS,SOXS,26466.12,912.03,3.57,1.43
2026-03-12,26466.12,SOXS,10:02,SOXS,15:55,SOXL,SOXL,28517.62,2051.5,7.75,0.0
2026-03-13,28517.62,SOXL,no change,no change,15:55,SOXS,SOXS,28708.27,190.65,0.67,0.0
2026-03-16,28708.27,SOXS,06:42,SOXS,15:55,SOXL,SOXL,27345.5,-1362.77,-4.75,4.75
2026-03-17,27345.5,SOXL,no change,no change,no change,no change,SOXL,27895.37,549.86,2.01,2.83
2026-03-18,27895.37,SOXL,no change,no change,no change,no change,SOXL,27727.35,-168.01,-0.6,3.42
2026-03-19,27727.35,SOXL,no change,no change,no change,no change,SOXL,27997.19,269.84,0.97,2.48
2026-03-20,27997.19,SOXL,no change,no change,no change,no change,SOXL,25835.93,-2161.27,-7.72,10.01
2026-03-23,25835.93,SOXL,10:50,SOXL,15:55,SOXS,SOXS,28279.01,2443.08,9.46,1.5
2026-03-24,28279.01,SOXS,11:24,SOXS,no change,no change,CASH,26936.64,-1342.36,-4.75,6.17
2026-03-25,26936.64,CASH,no change,no change,15:55,SOXS,SOXS,26933.95,-2.69,-0.01,6.18
2026-03-26,26933.95,SOXS,11:46,SOXS,15:55,SOXL,SOXL,29210.7,2276.75,8.45,0.0
2026-03-27,29210.7,SOXL,no change,no change,15:55,SOXS,SOXS,27771.35,-1439.35,-4.93,4.93
2026-03-30,27771.35,SOXS,10:59,SOXS,15:55,SOXS,SOXS,29900.79,2129.44,7.67,0.0
2026-03-31,29900.79,SOXS,08:01,SOXS,no change,no change,CASH,28485.6,-1415.18,-4.73,4.73
2026-04-01,28485.6,CASH,no change,no change,15:55,SOXL,SOXL,28482.76,-2.85,-0.01,4.74
2026-04-02,28482.76,SOXL,no change,no change,no change,no change,SOXL,28788.29,305.53,1.07,3.72
2026-04-06,28788.29,SOXL,no change,no change,no change,no change,SOXL,29846.74,1058.45,3.68,0.18
2026-04-07,29846.74,SOXL,19:33,SOXL,15:55,SOXL,SOXL,34443.66,4596.92,15.4,0.0
2026-04-08,34443.66,SOXL,07:15,SOXL,15:55,SOXL,SOXL,39897.23,5453.57,15.83,0.0
2026-04-09,39897.23,SOXL,no change,no change,no change,no change,SOXL,42607.39,2710.17,6.79,0.0
2026-04-10,42607.39,SOXL,no change,no change,no change,no change,SOXL,45279.06,2671.66,6.27,0.0
