window,start,end,profile,exec_model,exec_model_effective,status,cpu_start_equity,cpu_final_equity,cpu_return_pct,cpu_max_dd_pct,cpu_cagr_pct,cpu_avg_daily_return_pct,cpu_window_trades,gpu_final_equity,gpu_return_pct,gpu_max_dd_pct,gpu_window_trades,cpu_gpu_diff_bps
1y,2025-03-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,synthetic,synthetic,ok,10000.0,81492.7485398822,714.9274853988221,36.85936000695813,720.8197702145355,1.001039413277162,269,81492.7485398822,714.9274853988221,36.85936000695814,270,0.0
2y,2024-03-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,synthetic,synthetic,ok,10000.0,71491.8653569988,614.9186535699879,58.97484534293261,167.92126139524527,0.5619413032380051,504,71491.8653569988,614.9186535699879,58.97484534293261,493,0.0
3y,2023-03-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,synthetic,synthetic,ok,10000.0,44539.80667374331,345.39806673743317,80.62382277170228,64.58776908462065,0.35875342062709675,553,44539.80667374331,345.39806673743317,80.62382277170228,549,0.0
5y,2021-03-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,synthetic,synthetic,ok,10000.0,106427.84899625662,964.2784899625661,80.62382407375588,60.61172953124105,0.34257878666678726,1167,106427.84899625662,964.2784899625661,80.62382407375588,1137,0.0
10y,2016-03-20,2026-03-20,aggr_adapt_t10_tr2_rv14_b85_m8_M30,synthetic,synthetic,ok,10000.0,48621.48886509865,386.2148886509865,90.76768909066301,17.146648551281096,0.20681158892061574,1618,48621.48886509863,386.2148886509863,90.76768909066301,1600,2.99289790749548e-12
1m,2026-02-20,2026-03-20,original_composer,market_close,market_close,ok,10000.0,18338.275185377282,83.38275185377282,8.62982686148236,365204.5383245337,3.4055340175483804,9,18338.275185377282,83.38275185377282,8.62982686148236,9,0.0
2m,2026-01-20,2026-03-20,original_composer,market_close,market_close,ok,10000.0,23729.753214392247,137.2975321439225,14.56310652643767,22987.489475067443,2.3170032700423624,16,23729.753214392247,137.2975321439225,14.56310652643767,16,0.0
3m,2025-12-20,2026-03-20,original_composer,market_close,market_close,ok,10000.0,18372.504893339552,83.72504893339551,35.99999861283735,1185.439669890597,1.2214842039459286,18,18372.504893339552,83.72504893339551,35.99999861283735,18,0.0
6m,2025-09-20,2026-03-20,original_composer,market_close,market_close,ok,10000.0,20501.540933091717,105.01540933091715,39.11872168216417,336.29013967458314,0.7951626705780059,30,20501.540933091717,105.01540933091715,39.11872168216417,30,0.0
1y,2025-03-20,2026-03-20,original_composer,market_close,market_close,ok,10000.0,33365.4682270878,233.65468227087797,39.118721682164164,235.03814926031262,0.6296659447539913,228,33365.4682270878,233.65468227087797,39.118721682164164,231,0.0
