Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %
2026-02-06,9818.03,SOXL,09:56,SOXL,15:55,SOXL,SOXL,11004.48,1186.45,12.08,15.59
2026-02-09,11004.48,SOXL,no change,no change,no change,no change,SOXL,11387.53,383.05,3.48,12.66
2026-02-10,11387.53,SOXL,no change,no change,no change,no change,SOXL,11259.03,-128.5,-1.13,13.64
2026-02-11,11259.03,SOXL,no change,no change,no change,no change,SOXL,12128.74,869.71,7.72,6.97
2026-02-12,12128.74,SOXL,no change,no change,no change,no change,SOXL,11235.55,-893.19,-7.36,13.82
2026-02-13,11235.55,SOXL,no change,no change,no change,no change,SOXL,11428.41,192.86,1.72,12.34
2026-02-17,11428.41,SOXL,no change,no change,no change,no change,SOXL,11417.74,-10.66,-0.09,12.42
2026-02-18,11417.74,SOXL,no change,no change,no change,no change,SOXL,11808.79,391.05,3.42,9.42
2026-02-19,11808.79,SOXL,no change,no change,no change,no change,SOXL,11533.28,-275.51,-2.33,11.54
2026-02-20,11533.28,SOXL,no change,no change,no change,no change,SOXL,11871.9,338.61,2.94,8.94
2026-02-23,11871.9,SOXL,no change,no change,no change,no change,SOXL,11605.7,-266.2,-2.24,10.98
2026-02-24,11605.7,SOXL,no change,no change,no change,no change,SOXL,12204.29,598.59,5.16,6.39
2026-02-25,12204.29,SOXL,no change,no change,no change,no change,SOXL,12780.2,575.91,4.72,1.97
2026-02-26,12780.2,SOXL,no change,no change,no change,no change,SOXL,11573.28,-1206.92,-9.44,11.23
2026-02-27,11573.28,SOXL,no change,no change,15:55,SOXS,SOXS,11124.01,-449.27,-3.88,14.68
2026-03-02,11124.01,SOXS,no change,no change,no change,no change,SOXS,11124.63,0.62,0.01,14.67
2026-03-03,11124.63,SOXS,no change,no change,no change,no change,SOXS,12793.55,1668.92,15.0,1.87
2026-03-04,12793.55,SOXS,no change,no change,no change,no change,SOXS,11959.32,-834.23,-6.52,8.27
2026-03-05,11959.32,SOXS,13:43,SOXS,15:55,SOXS,SOXS,12842.5,883.18,7.38,1.5
2026-03-06,12842.5,SOXS,09:30,SOXS,15:55,SOXL,SOXL,13613.67,771.17,6.0,0.0
2026-03-09,13613.67,SOXL,15:43,SOXL,15:55,SOXL,SOXL,15020.83,1407.16,10.34,0.0
2026-03-10,15020.83,SOXL,no change,no change,no change,no change,SOXL,15358.25,337.42,2.25,0.0
2026-03-11,15358.25,SOXL,no change,no change,15:55,SOXS,SOXS,15907.98,549.73,3.58,0.0
2026-03-12,15907.98,SOXS,10:02,SOXS,15:55,SOXL,SOXL,17142.79,1234.81,7.76,0.0
2026-03-13,17142.79,SOXL,no change,no change,no change,no change,SOXL,17262.57,119.78,0.7,0.0
2026-03-16,17262.57,SOXL,15:13,SOXL,15:55,SOXL,SOXL,18632.95,1370.38,7.94,0.0
2026-03-17,18632.95,SOXL,no change,no change,no change,no change,SOXL,19007.62,374.67,2.01,0.0
2026-03-18,19007.62,SOXL,no change,no change,no change,no change,SOXL,18893.14,-114.48,-0.6,0.6
2026-03-19,18893.14,SOXL,no change,no change,no change,no change,SOXL,19077.01,183.87,0.97,0.0
2026-03-20,19077.01,SOXL,no change,no change,no change,no change,SOXL,17604.34,-1472.67,-7.72,7.72
2026-03-23,17604.34,SOXL,10:50,SOXL,15:55,SOXS,SOXS,19270.96,1666.62,9.47,0.0
2026-03-24,19270.96,SOXS,11:24,SOXS,no change,no change,CASH,18358.03,-912.93,-4.74,4.74
2026-03-25,18358.03,CASH,no change,no change,15:55,SOXS,SOXS,18356.19,-1.84,-0.01,4.75
2026-03-26,18356.19,SOXS,11:46,SOXS,15:55,SOXL,SOXL,19909.85,1553.66,8.46,0.0
2026-03-27,19909.85,SOXL,no change,no change,no change,no change,SOXL,18934.48,-975.38,-4.9,4.9
2026-03-30,18934.48,SOXL,no change,no change,no change,no change,SOXL,16579.35,-2355.13,-12.44,16.73
2026-03-31,16579.35,SOXL,10:09,SOXL,15:55,SOXL,SOXL,17783.02,1203.67,7.26,10.68
2026-04-01,17783.02,SOXL,14:02,SOXL,15:55,SOXL,SOXL,19615.13,1832.1,10.3,1.48
2026-04-02,19615.13,SOXL,no change,no change,no change,no change,SOXL,19825.54,210.41,1.07,0.42
2026-04-06,19825.54,SOXL,no change,no change,no change,no change,SOXL,20554.46,728.92,3.68,0.0
2026-04-07,20554.46,SOXL,19:33,SOXL,15:55,SOXL,SOXL,23722.57,3168.11,15.41,0.0
2026-04-08,23722.57,SOXL,07:15,SOXL,15:55,SOXL,SOXL,27481.39,3758.82,15.84,0.0
2026-04-09,27481.39,SOXL,no change,no change,no change,no change,SOXL,29348.16,1866.78,6.79,0.0
2026-04-10,29348.16,SOXL,no change,no change,no change,no change,SOXL,31188.42,1840.25,6.27,0.0
