cid,base_rebalance_threshold,controlplane_threshold_cap,controlplane_hysteresis_enter,controlplane_hysteresis_exit,controlplane_hysteresis_enter_days,controlplane_hysteresis_exit_days,eval_hhmm,terminal_equity,total_return_pct,avg_monthly_return_pct,median_monthly_return_pct,win_months,loss_months,avg_monthly_maxdd_pct,worst_month_return_pct,worst_month_maxdd_pct,score
UPG2Y-0040,0.05,0.5,0.64,0.56,2,2,15:55,21121.96174089085,111.21961740890849,6.498760121477339,5.718262461123147,15,9,19.372429699293424,-38.888644791249625,47.21722468969546,0.1014670401234777
UPG2Y-0041,0.05,0.6,0.6,0.54,2,1,15:55,20527.68316664839,105.27683166648387,6.108226890641396,5.7182624611231585,15,9,19.546075545576787,-38.888644791249625,47.21722468969545,0.06929524344587004
UPG2Y-0042,0.05,0.6,0.6,0.54,3,2,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375,0.03186234762777294
UPG2Y-0043,0.05,0.6,0.6,0.56,3,1,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375,0.03186234762777294
UPG2Y-0044,0.05,0.6,0.62,0.54,2,2,15:55,19197.353679500196,91.97353679500198,5.859630641658339,5.71826246112318,15,9,19.545746702553533,-38.888644791249625,47.21722468969545,0.0
UPG2Y-0045,0.05,0.6,0.62,0.56,2,1,15:55,19197.353679500196,91.97353679500198,5.859630641658339,5.71826246112318,15,9,19.545746702553533,-38.888644791249625,47.21722468969545,0.0
UPG2Y-0046,0.05,0.6,0.62,0.56,3,2,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375,0.03186234762777294
UPG2Y-0047,0.05,0.6,0.64,0.54,3,1,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375,0.03186234762777294
UPG2Y-0048,0.05,0.6,0.64,0.56,2,2,15:55,21121.96174089085,111.21961740890849,6.498760121477339,5.718262461123147,15,9,19.372429699293424,-38.888644791249625,47.21722468969546,0.1014670401234777
UPG2Y-0049,0.06,0.4,0.6,0.54,2,1,15:55,20527.68316664839,105.27683166648387,6.108226890641396,5.7182624611231585,15,9,19.546075545576787,-38.888644791249625,47.21722468969545,0.06929524344587004
UPG2Y-0050,0.06,0.4,0.6,0.54,3,2,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375,0.03186234762777294
UPG2Y-0051,0.06,0.4,0.6,0.56,3,1,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375,0.03186234762777294
UPG2Y-0052,0.06,0.4,0.62,0.54,2,2,15:55,19197.353679500196,91.97353679500198,5.859630641658339,5.71826246112318,15,9,19.545746702553533,-38.888644791249625,47.21722468969545,0.0
UPG2Y-0053,0.06,0.4,0.62,0.56,2,1,15:55,19197.353679500196,91.97353679500198,5.859630641658339,5.71826246112318,15,9,19.545746702553533,-38.888644791249625,47.21722468969545,0.0
UPG2Y-0054,0.06,0.4,0.62,0.56,3,2,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375,0.03186234762777294
UPG2Y-0055,0.06,0.4,0.64,0.54,3,1,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375,0.03186234762777294
UPG2Y-0056,0.06,0.4,0.64,0.56,2,2,15:55,21121.96174089085,111.21961740890849,6.498760121477339,5.718262461123147,15,9,19.372429699293424,-38.888644791249625,47.21722468969546,0.1014670401234777
UPG2Y-0057,0.06,0.5,0.6,0.54,2,1,15:55,20527.68316664839,105.27683166648387,6.108226890641396,5.7182624611231585,15,9,19.546075545576787,-38.888644791249625,47.21722468969545,0.06929524344587004
UPG2Y-0058,0.06,0.5,0.6,0.54,3,2,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375,0.03186234762777294
UPG2Y-0059,0.06,0.5,0.6,0.56,3,1,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375,0.03186234762777294
UPG2Y-0060,0.06,0.5,0.62,0.54,2,2,15:55,19197.353679500196,91.97353679500198,5.859630641658339,5.71826246112318,15,9,19.545746702553533,-38.888644791249625,47.21722468969545,0.0
UPG2Y-0061,0.06,0.5,0.62,0.56,2,1,15:55,19197.353679500196,91.97353679500198,5.859630641658339,5.71826246112318,15,9,19.545746702553533,-38.888644791249625,47.21722468969545,0.0
UPG2Y-0062,0.06,0.5,0.62,0.56,3,2,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375,0.03186234762777294
UPG2Y-0063,0.06,0.5,0.64,0.54,3,1,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375,0.03186234762777294
UPG2Y-0064,0.06,0.5,0.64,0.56,2,2,15:55,21121.96174089085,111.21961740890849,6.498760121477339,5.718262461123147,15,9,19.372429699293424,-38.888644791249625,47.21722468969546,0.1014670401234777
UPG2Y-0065,0.06,0.6,0.6,0.54,2,1,15:55,20527.68316664839,105.27683166648387,6.108226890641396,5.7182624611231585,15,9,19.546075545576787,-38.888644791249625,47.21722468969545,0.06929524344587004
UPG2Y-0066,0.06,0.6,0.6,0.54,3,2,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375,0.03186234762777294
UPG2Y-0067,0.06,0.6,0.6,0.56,3,1,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375,0.03186234762777294
UPG2Y-0068,0.06,0.6,0.62,0.54,2,2,15:55,19197.353679500196,91.97353679500198,5.859630641658339,5.71826246112318,15,9,19.545746702553533,-38.888644791249625,47.21722468969545,0.0
UPG2Y-0069,0.06,0.6,0.62,0.56,2,1,15:55,19197.353679500196,91.97353679500198,5.859630641658339,5.71826246112318,15,9,19.545746702553533,-38.888644791249625,47.21722468969545,0.0
UPG2Y-0070,0.06,0.6,0.62,0.56,3,2,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375,0.03186234762777294
UPG2Y-0071,0.06,0.6,0.64,0.54,3,1,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375,0.03186234762777294
UPG2Y-0072,0.06,0.6,0.64,0.56,2,2,15:55,21121.96174089085,111.21961740890849,6.498760121477339,5.718262461123147,15,9,19.372429699293424,-38.888644791249625,47.21722468969546,0.1014670401234777
