Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Window Index,Window Period
2024-09-12,7054.030289545605,TMF,09:31,TQQQ -> TQQQ,15:55,TQQQ,TMF,7057.593719232487,3.5634296868820456,0.050516223217278444,0.0,6,2024-09-10 to 2024-10-10
2024-09-13,7057.593719232487,TMF,09:59,TMF -> TMF,15:55,TMF,SPXL,7137.403366290329,79.80964705784208,1.1308336840126554,0.0,6,2024-09-10 to 2024-10-10
2024-09-16,7137.403366290329,SPXL,09:30,TQQQ -> TQQQ,15:55,TQQQ,TMF,7164.127987217946,26.724620927616343,0.37443058148900477,0.0,6,2024-09-10 to 2024-10-10
2024-09-17,7164.127987217946,TMF,"08:00, 09:54","TQQQ, TMF -> TMF, TQQQ","15:55, 15:55","TMF, TQQQ",TMF,7136.642543849381,-27.48544336856503,-0.38365371776724055,0.38365371776724055,6,2024-09-10 to 2024-10-10
2024-09-18,7136.642543849381,TMF,11:46,TQQQ -> TQQQ,15:55,TQQQ,TMF,7018.350073070378,-118.29247077900254,-1.6575367205542757,2.0348312370697563,6,2024-09-10 to 2024-10-10
2024-09-19,7018.350073070378,TMF,08:00,TQQQ -> TQQQ,15:55,TQQQ,SPXL,7195.722903031394,177.37282996101567,2.5272724802030133,0.0,6,2024-09-10 to 2024-10-10
2024-09-20,7195.722903031394,SPXL,10:52,TQQQ -> TQQQ,15:55,TQQQ,SPXL,7125.877003227903,-69.84589980349119,-0.9706585529310252,0.9706585529310294,6,2024-09-10 to 2024-10-10
2024-09-23,7125.877003227903,SPXL,08:00,TQQQ -> TQQQ,15:55,TQQQ,SPXL,7113.972232132836,-11.90477109506628,-0.16706394300201044,1.1361008754814306,6,2024-09-10 to 2024-10-10
2024-09-24,7113.972232132836,SPXL,10:00,TQQQ -> TQQQ,15:55,TQQQ,SPXL,7119.091102407992,5.118870275156041,0.07195516243421185,1.064963196277586,6,2024-09-10 to 2024-10-10
2024-09-25,7119.091102407992,SPXL,no change,no change,no change,no change,TQQQ,7058.45203909882,-60.63906330917234,-0.8517809708694646,1.907673013294393,6,2024-09-10 to 2024-10-10
2024-09-26,7058.45203909882,TQQQ,08:00,"TQQQ -> SOXL, TQQQ","15:55, 15:55","SOXL, TQQQ",TQQQ,7159.930254816692,101.47821571787154,1.4376837181262037,0.49741559947539965,6,2024-09-10 to 2024-10-10
2024-09-27,7159.930254816692,TQQQ,11:10,TQQQ -> TQQQ,15:55,TQQQ,TQQQ,7029.022361454252,-130.9078933624396,-1.8283403427620581,2.316661492161055,6,2024-09-10 to 2024-10-10
2024-09-30,7029.022361454252,TQQQ,07:49,TQQQ -> TQQQ,15:55,TQQQ,TQQQ,6940.290578804226,-88.7317826500257,-1.2623630725179247,3.549779885486693,6,2024-09-10 to 2024-10-10
2024-10-01,6940.290578804226,TQQQ,09:33,"TQQQ -> TMF, TQQQ","15:55, 15:55","TMF, TQQQ",TMF,6679.980307179701,-260.31027162452483,-3.7507114243821027,7.167349310163428,6,2024-09-10 to 2024-10-10
2024-10-02,6679.980307179701,TMF,09:39,"TQQQ -> SOXL, TQQQ","15:55, 15:55","SOXL, TQQQ",SOXL,6590.320498512826,-89.6598086668755,-1.3422166614848852,8.413364615020482,6,2024-09-10 to 2024-10-10
2024-10-03,6590.320498512826,SOXL,10:22,TQQQ -> TQQQ,15:55,TQQQ,SOXL,6551.989531247744,-38.33096726508211,-0.5816252377062958,8.94605560078557,6,2024-09-10 to 2024-10-10
2024-10-04,6551.989531247744,SOXL,09:56,TQQQ -> TQQQ,15:55,TQQQ,SOXL,6767.025292685269,215.03576143752525,3.281991834876674,5.9576725802702075,6,2024-09-10 to 2024-10-10
2024-10-07,6767.025292685269,SOXL,08:00,TQQQ -> TQQQ,15:55,TQQQ,SOXL,6643.399449293955,-123.62584339131445,-1.8268860842731938,7.675718773227884,6,2024-09-10 to 2024-10-10
