window_idx,period,start_principal_base_v2,final_equity_base_v2,pnl_usd_base_v2,return_pct_base_v2,maxdd_pct_base_v2,maxdd_usd_base_v2,start_principal_upg2y_0002,final_equity_upg2y_0002,pnl_usd_upg2y_0002,return_pct_upg2y_0002,maxdd_pct_upg2y_0002,maxdd_usd_upg2y_0002,delta_final_equity,delta_return_pct,delta_maxdd_pct
11,2025-02-10 to 2025-03-10,5221.014927932461,3612.732727877865,-1608.2822000545966,-30.804014588241778,31.087457949581783,1629.7566947800533,6108.304065819474,4226.701190290276,-1881.6028755291984,-30.8040145882418,31.08745794958179,1906.726868709364,613.9684624124111,-2.1316282072803006e-14,7.105427357601002e-15
12,2025-03-10 to 2025-04-10,3612.732727877865,4124.777152822691,512.0444249448265,14.173327049454995,9.312603262710716,384.1241317133122,4226.701190290276,5037.25061908666,810.5494287963838,19.17688032119247,8.906657357413613,448.6506528762448,912.4734662639685,5.003553271737475,-0.40594590529710395
13,2025-04-10 to 2025-05-10,4124.777152822691,3551.308917327988,-573.4682354947035,-13.903011344558692,21.07767441835981,937.8797054391084,5037.25061908666,4336.921094061188,-700.3295250254714,-13.903011344558692,21.07767441835984,1145.355240250734,785.6121767332002,0.0,3.197442310920451e-14
14,2025-05-10 to 2025-06-10,3551.308917327988,4077.60384592641,526.2949285984223,14.819745081326465,10.164857882342126,414.4826359433364,4336.921094061188,4979.6417445793295,642.7206505181412,14.81974508132642,10.164857882342158,506.1735063862725,902.0378986529195,-4.440892098500626e-14,3.197442310920451e-14
15,2025-06-10 to 2025-07-10,4077.60384592641,4785.956601545707,708.3527556192967,17.371789472068322,5.034335833032296,240.94112814499024,4979.6417445793295,5844.6946249108805,865.052880331551,17.371789472068322,5.034335833032317,294.24155583320226,1058.7380233651738,0.0,2.1316282072803006e-14
16,2025-07-10 to 2025-08-10,4785.956601545707,4418.659609122384,-367.296992423323,-7.674473945390526,18.739214897404047,901.0221061223124,5844.6946249108805,5396.145058734455,-448.5495661764253,-7.674473945390514,18.739214897404025,1100.3440898060262,977.4854496120715,1.1546319456101628e-14,-2.1316282072803006e-14
17,2025-08-10 to 2025-09-10,4418.659609122384,5004.451823729986,585.7922146076025,13.257237860056614,15.36760681295622,787.2236121171982,5396.145058734455,6021.908194523387,625.7631357889313,11.596484693754515,15.974725578878065,991.8125004880594,1017.4563707934003,-1.660753166302099,0.6071187659218449
18,2025-09-10 to 2025-10-10,5004.451823729986,5661.648650435129,657.1968267051425,13.1322440469676,19.38120256859312,1361.091493080712,6021.908194523387,6812.719874912541,790.8116803891544,13.132244046967646,19.381202568593118,1637.8153500875917,1151.0712244774122,4.618527782440651e-14,-3.552713678800501e-15
19,2025-10-10 to 2025-11-10,5661.648650435129,5751.60632080849,89.957670373361,1.588895318794603,17.6811889481302,1148.711119682871,6812.719874912541,6920.966862087615,108.24698717507364,1.588895318794581,17.68118894813021,1382.255869055929,1169.3605412791248,-2.220446049250313e-14,1.0658141036401503e-14
20,2025-11-10 to 2025-12-10,5751.60632080849,7487.836071389779,1736.2297505812894,30.186867002699035,17.716182166876752,1326.558678764521,6920.966862087615,9010.189924046874,2089.223061959259,30.18686700269901,17.716182166876752,1596.261660525718,1522.3538526570946,-2.4868995751603507e-14,0.0
