timestamp,gpu_util_pct,mem_used_mb,mem_total_mb
2026-03-28T01:50:27-0400,0, 26, 16311
2026-03-28T01:50:28-0400,0, 26, 16311
2026-03-28T01:50:29-0400,0, 26, 16311
2026-03-28T01:50:30-0400,0, 26, 16311
2026-03-28T01:50:31-0400,0, 26, 16311
2026-03-28T01:50:32-0400,0, 26, 16311
2026-03-28T01:50:33-0400,0, 26, 16311
2026-03-28T01:50:34-0400,0, 26, 16311
2026-03-28T01:50:35-0400,0, 26, 16311
2026-03-28T01:50:36-0400,0, 26, 16311
2026-03-28T01:50:37-0400,0, 26, 16311
2026-03-28T01:50:38-0400,0, 26, 16311
2026-03-28T01:50:39-0400,0, 26, 16311
2026-03-28T01:50:40-0400,0, 26, 16311
2026-03-28T01:50:41-0400,0, 26, 16311
2026-03-28T01:50:42-0400,0, 26, 16311
2026-03-28T01:50:44-0400,0, 26, 16311
2026-03-28T01:50:45-0400,0, 26, 16311
2026-03-28T01:50:46-0400,0, 26, 16311
2026-03-28T01:50:47-0400,0, 26, 16311
2026-03-28T01:50:48-0400,0, 26, 16311
2026-03-28T01:50:49-0400,0, 26, 16311
2026-03-28T01:50:50-0400,0, 26, 16311
2026-03-28T01:50:51-0400,0, 26, 16311
2026-03-28T01:50:52-0400,0, 26, 16311
2026-03-28T01:50:53-0400,0, 26, 16311
2026-03-28T01:50:54-0400,0, 26, 16311
2026-03-28T01:50:55-0400,0, 26, 16311
2026-03-28T01:50:56-0400,0, 26, 16311
2026-03-28T01:50:57-0400,0, 26, 16311
2026-03-28T01:50:58-0400,0, 26, 16311
2026-03-28T01:50:59-0400,0, 26, 16311
2026-03-28T01:51:00-0400,0, 26, 16311
2026-03-28T01:51:01-0400,0, 26, 16311
2026-03-28T01:51:02-0400,0, 26, 16311
2026-03-28T01:51:03-0400,0, 26, 16311
2026-03-28T01:51:04-0400,0, 26, 16311
2026-03-28T01:51:05-0400,0, 26, 16311
2026-03-28T01:51:06-0400,0, 26, 16311
2026-03-28T01:51:07-0400,0, 26, 16311
2026-03-28T01:51:09-0400,0, 26, 16311
2026-03-28T01:51:10-0400,0, 26, 16311
2026-03-28T01:51:11-0400,0, 26, 16311
2026-03-28T01:51:12-0400,0, 26, 16311
2026-03-28T01:51:13-0400,0, 26, 16311
2026-03-28T01:51:14-0400,0, 26, 16311
2026-03-28T01:51:15-0400,0, 26, 16311
2026-03-28T01:51:16-0400,0, 26, 16311
2026-03-28T01:51:17-0400,0, 26, 16311
2026-03-28T01:51:18-0400,0, 26, 16311
2026-03-28T01:51:19-0400,0, 26, 16311
2026-03-28T01:51:20-0400,0, 26, 16311
2026-03-28T01:51:21-0400,0, 26, 16311
2026-03-28T01:51:22-0400,0, 26, 16311
2026-03-28T01:51:23-0400,0, 26, 16311
2026-03-28T01:51:24-0400,0, 26, 16311
2026-03-28T01:51:25-0400,0, 26, 16311
2026-03-28T01:51:26-0400,0, 26, 16311
2026-03-28T01:51:27-0400,0, 26, 16311
2026-03-28T01:51:28-0400,0, 26, 16311
2026-03-28T01:51:29-0400,0, 26, 16311
2026-03-28T01:51:30-0400,0, 26, 16311
2026-03-28T01:51:31-0400,0, 26, 16311
2026-03-28T01:51:32-0400,0, 26, 16311
2026-03-28T01:51:34-0400,0, 26, 16311
2026-03-28T01:51:35-0400,0, 26, 16311
2026-03-28T01:51:36-0400,0, 26, 16311
2026-03-28T01:51:37-0400,0, 26, 16311
2026-03-28T01:51:38-0400,0, 26, 16311
2026-03-28T01:51:39-0400,0, 26, 16311
2026-03-28T01:51:40-0400,0, 26, 16311
2026-03-28T01:51:41-0400,0, 26, 16311
2026-03-28T01:51:42-0400,0, 26, 16311
2026-03-28T01:51:43-0400,0, 26, 16311
2026-03-28T01:51:44-0400,0, 26, 16311
2026-03-28T01:51:45-0400,0, 26, 16311
2026-03-28T01:51:46-0400,0, 26, 16311
2026-03-28T01:51:47-0400,0, 26, 16311
2026-03-28T01:51:48-0400,0, 26, 16311
2026-03-28T01:51:49-0400,0, 26, 16311
2026-03-28T01:51:50-0400,0, 26, 16311
2026-03-28T01:51:51-0400,0, 26, 16311
2026-03-28T01:51:52-0400,0, 26, 16311
2026-03-28T01:51:53-0400,0, 26, 16311
2026-03-28T01:51:54-0400,0, 26, 16311
2026-03-28T01:51:55-0400,0, 26, 16311
2026-03-28T01:51:56-0400,0, 26, 16311
2026-03-28T01:51:57-0400,0, 26, 16311
2026-03-28T01:51:58-0400,0, 26, 16311
2026-03-28T01:52:00-0400,0, 26, 16311
2026-03-28T01:52:01-0400,0, 26, 16311
2026-03-28T01:52:02-0400,0, 26, 16311
2026-03-28T01:52:03-0400,0, 26, 16311
2026-03-28T01:52:04-0400,0, 26, 16311
2026-03-28T01:52:05-0400,0, 26, 16311
2026-03-28T01:52:06-0400,0, 26, 16311
2026-03-28T01:52:07-0400,0, 26, 16311
2026-03-28T01:52:08-0400,0, 26, 16311
2026-03-28T01:52:09-0400,0, 26, 16311
2026-03-28T01:52:10-0400,0, 26, 16311
2026-03-28T01:52:11-0400,0, 26, 16311
2026-03-28T01:52:12-0400,0, 26, 16311
2026-03-28T01:52:13-0400,0, 26, 16311
2026-03-28T01:52:14-0400,0, 26, 16311
2026-03-28T01:52:15-0400,0, 26, 16311
2026-03-28T01:52:16-0400,0, 26, 16311
2026-03-28T01:52:17-0400,0, 26, 16311
2026-03-28T01:52:18-0400,0, 26, 16311
2026-03-28T01:52:19-0400,0, 26, 16311
2026-03-28T01:52:20-0400,0, 26, 16311
2026-03-28T01:52:21-0400,0, 26, 16311
2026-03-28T01:52:22-0400,0, 26, 16311
2026-03-28T01:52:23-0400,0, 26, 16311
2026-03-28T01:52:25-0400,0, 26, 16311
2026-03-28T01:52:26-0400,0, 26, 16311
2026-03-28T01:52:27-0400,0, 26, 16311
2026-03-28T01:52:28-0400,0, 26, 16311
2026-03-28T01:52:29-0400,0, 26, 16311
2026-03-28T01:52:30-0400,0, 26, 16311
2026-03-28T01:52:31-0400,0, 26, 16311
2026-03-28T01:52:32-0400,0, 26, 16311
2026-03-28T01:52:33-0400,0, 26, 16311
2026-03-28T01:52:34-0400,0, 26, 16311
2026-03-28T01:52:35-0400,0, 26, 16311
2026-03-28T01:52:36-0400,0, 26, 16311
2026-03-28T01:52:37-0400,0, 26, 16311
2026-03-28T01:52:38-0400,0, 26, 16311
2026-03-28T01:52:39-0400,0, 26, 16311
2026-03-28T01:52:40-0400,0, 26, 16311
2026-03-28T01:52:41-0400,0, 26, 16311
2026-03-28T01:52:42-0400,0, 26, 16311
2026-03-28T01:52:43-0400,0, 26, 16311
2026-03-28T01:52:44-0400,0, 26, 16311
2026-03-28T01:52:45-0400,0, 26, 16311
2026-03-28T01:52:46-0400,0, 26, 16311
2026-03-28T01:52:47-0400,0, 26, 16311
2026-03-28T01:52:48-0400,0, 26, 16311
2026-03-28T01:52:50-0400,0, 26, 16311
2026-03-28T01:52:51-0400,0, 26, 16311
2026-03-28T01:52:52-0400,0, 26, 16311
2026-03-28T01:52:53-0400,0, 26, 16311
2026-03-28T01:52:54-0400,0, 26, 16311
2026-03-28T01:52:55-0400,0, 26, 16311
2026-03-28T01:52:56-0400,0, 26, 16311
2026-03-28T01:52:57-0400,0, 26, 16311
2026-03-28T01:52:58-0400,0, 26, 16311
2026-03-28T01:52:59-0400,0, 26, 16311
2026-03-28T01:53:00-0400,0, 26, 16311
2026-03-28T01:53:01-0400,0, 26, 16311
2026-03-28T01:53:02-0400,0, 26, 16311
2026-03-28T01:53:03-0400,0, 26, 16311
2026-03-28T01:53:04-0400,0, 26, 16311
2026-03-28T01:53:05-0400,0, 26, 16311
2026-03-28T01:53:06-0400,0, 26, 16311
2026-03-28T01:53:07-0400,0, 26, 16311
2026-03-28T01:53:08-0400,0, 26, 16311
2026-03-28T01:53:09-0400,0, 26, 16311
2026-03-28T01:53:10-0400,0, 26, 16311
