Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %
2024-06-26,15906.17,SOXS,no change,no change,no change,no change,SOXS,16025.14,118.96,0.75,7.06
2024-06-27,16025.14,SOXS,no change,no change,no change,no change,SOXS,16420.49,395.36,2.47,4.77
2024-06-28,16420.49,SOXS,no change,no change,15:55,SOXL,SOXL,15796.44,-624.05,-3.8,8.39
2024-07-01,15796.44,SOXL,no change,no change,15:55,SOXS,SOXS,15732.06,-64.38,-0.41,8.76
2024-07-02,15732.06,SOXS,19:59,SOXS,15:55,SOXL,SOXL,14989.65,-742.41,-4.72,13.07
2024-07-03,14989.65,SOXL,no change,no change,no change,no change,SOXL,15767.36,777.71,5.19,8.56
2024-07-05,15767.36,SOXL,no change,no change,no change,no change,SOXL,15927.01,159.65,1.01,7.63
2024-07-08,15927.01,SOXL,no change,no change,no change,no change,SOXL,16770.95,843.93,5.3,2.74
2024-07-09,16770.95,SOXL,no change,no change,no change,no change,SOXL,16697.82,-73.13,-0.44,3.16
2024-07-10,16697.82,SOXL,no change,no change,no change,no change,SOXL,17900.67,1202.86,7.2,0.0
2024-07-11,17900.67,SOXL,no change,no change,no change,no change,SOXL,16186.11,-1714.56,-9.58,9.58
2024-07-12,16186.11,SOXL,15:30,SOXL,15:55,SOXS,SOXS,17147.77,961.66,5.94,4.21
2024-07-15,17147.77,SOXS,no change,no change,15:55,SOXL,SOXL,17185.73,37.96,0.22,3.99
2024-07-16,17185.73,SOXL,no change,no change,no change,no change,SOXL,17559.61,373.88,2.18,1.91
2024-07-17,17559.61,SOXL,no change,no change,15:55,SOXS,SOXS,14021.9,-3537.72,-20.15,21.67
2024-07-18,14021.9,SOXS,04:00,SOXS,no change,no change,CASH,13361.53,-660.37,-4.71,25.36
2024-07-19,13361.53,CASH,no change,no change,15:55,SOXS,SOXS,13360.19,-1.34,-0.01,25.36
2024-07-22,13360.19,SOXS,05:57,SOXS,no change,no change,CASH,12717.67,-642.53,-4.81,28.95
2024-07-23,12717.67,CASH,no change,no change,15:55,SOXS,SOXS,12716.39,-1.27,-0.01,28.96
2024-07-24,12716.39,SOXS,no change,no change,15:55,SOXL,SOXL,14669.38,1952.98,15.36,18.05
2024-07-25,14669.38,SOXL,no change,no change,15:55,SOXS,SOXS,13685.21,-984.16,-6.71,23.55
2024-07-26,13685.21,SOXS,04:00,SOXS,no change,no change,CASH,13011.08,-674.14,-4.93,27.32
2024-07-29,13011.08,CASH,no change,no change,15:55,SOXL,SOXL,13009.78,-1.3,-0.01,27.32
2024-07-30,13009.78,SOXL,no change,no change,no change,no change,SOXL,11704.75,-1305.02,-10.03,34.61
2024-07-31,11704.75,SOXL,08:00,SOXL,15:55,SOXS,SOXS,12664.34,959.59,8.2,29.25
2024-08-01,12664.34,SOXS,no change,no change,15:55,SOXL,SOXL,15495.67,2831.32,22.36,13.44
2024-08-02,15495.67,SOXL,no change,no change,15:55,SPXS,SPXS,13120.34,-2375.33,-15.33,26.7
2024-08-05,13120.34,SPXS,no change,no change,no change,no change,SPXS,13625.45,505.11,3.85,23.88
2024-08-06,13625.45,SPXS,no change,no change,no change,no change,SPXS,13746.98,121.53,0.89,23.2
2024-08-07,13746.98,TMV,no change,no change,no change,no change,SPXS,14146.27,399.3,2.9,20.97
2024-08-08,14146.27,SPXS,no change,no change,15:55,SQQQ,SQQQ,13832.82,-313.46,-2.22,22.72
2024-08-09,13832.82,SQQQ,no change,no change,no change,no change,SQQQ,13594.79,-238.03,-1.72,24.05
2024-08-12,13594.79,SQQQ,09:30,SQQQ,no change,no change,SPXS,13413.33,-181.46,-1.33,25.07
2024-08-13,13413.33,SPXS,no change,no change,15:55,SQQQ,SQQQ,13081.88,-331.45,-2.47,26.92
2024-08-14,13081.88,SQQQ,no change,no change,no change,no change,SQQQ,12932.62,-149.27,-1.14,27.75
2024-08-15,12932.62,SQQQ,09:37,SQQQ,no change,no change,SPXS,12407.44,-525.18,-4.06,30.69
2024-08-16,12407.44,SPXS,no change,no change,15:55,SQQQ,SQQQ,12359.62,-47.82,-0.39,30.95
2024-08-19,12359.62,SQQQ,no change,no change,no change,no change,SQQQ,11994.46,-365.16,-2.95,32.99
2024-08-20,11994.46,SQQQ,08:00,SQQQ,15:55,TMV,TMV,11934.27,-60.19,-0.5,33.33
2024-08-21,11934.27,TMV,no change,no change,15:55,SQQQ,SQQQ,11917.55,-16.72,-0.14,33.42
2024-08-22,11917.55,TMV,no change,no change,15:55,SPXS,SPXS,12424.22,506.67,4.25,30.59
2024-08-23,12424.22,TMV,no change,no change,15:55,SPXS,SPXS,12083.35,-340.87,-2.74,32.5
2024-08-26,12083.35,SPXS,no change,no change,no change,no change,SPXS,12226.62,143.27,1.19,31.7
2024-08-27,12226.62,SPXS,no change,no change,no change,no change,SPXS,12150.84,-75.78,-0.62,32.12
2024-08-28,12150.84,SPXS,no change,no change,15:55,TMV,SPXS,12325.04,174.2,1.43,31.15
2024-08-29,12325.04,SPXS,no change,no change,15:55,SPXL,SPXL,12407.83,82.79,0.67,30.69
2024-08-30,12407.83,TQQQ,10:57,TQQQ,15:55,SOXL,SPXL,12474.47,66.64,0.54,30.31
2024-09-03,12474.47,SPXL,05:11,TQQQ,15:55,SPXS,SPXS,11178.7,-1295.77,-10.39,37.55
2024-09-04,11178.7,SPXS,no change,no change,no change,no change,SPXS,10979.55,-199.16,-1.78,38.66
2024-09-05,10979.55,SPXS,no change,no change,15:55,SPXL,SPXL,10956.86,-22.69,-0.21,38.79
2024-09-06,10956.86,TMF,08:00,TQQQ,15:55,TMF,TQQQ,10683.94,-272.91,-2.49,40.32
2024-09-09,10683.94,TQQQ,10:33,TQQQ,15:55,SOXS,SOXS,10904.36,220.41,2.06,39.08
2024-09-10,10904.36,SOXS,no change,no change,15:55,SPXL,TMF,10543.09,-361.27,-3.31,41.1
2024-09-11,10543.09,TMF,04:00,TQQQ,15:55,TQQQ,SPXL,10544.46,1.37,0.01,41.09
2024-09-12,10544.46,SPXL,09:50,TQQQ,15:55,TQQQ,SPXL,10542.71,-1.74,-0.02,41.1
2024-09-13,10542.71,SPXL,no change,no change,no change,no change,SPXL,10688.63,145.91,1.38,40.29
2024-09-16,10688.63,SPXL,09:32,TQQQ,15:55,TQQQ,SPXL,10721.71,33.09,0.31,40.1
2024-09-17,10721.71,SPXL,08:00,TQQQ,15:55,TQQQ,SPXL,10640.89,-80.82,-0.75,40.56
2024-09-18,10640.89,SPXL,11:47,TQQQ,15:55,TQQQ,SPXL,10458.38,-182.51,-1.72,41.58
2024-09-19,10458.38,SPXL,08:00,TQQQ,15:55,TQQQ,SPXL,10717.42,259.03,2.48,40.13
2024-09-20,10717.42,SPXL,10:54,TQQQ,15:55,TQQQ,SPXL,10605.88,-111.54,-1.04,40.75
2024-09-23,10605.88,SPXL,08:00,TQQQ,15:55,TQQQ,SPXL,10581.44,-24.44,-0.23,40.89
2024-09-24,10581.44,SPXL,10:02,TQQQ,15:55,TQQQ,SPXL,10582.02,0.58,0.01,40.88
2024-09-25,10582.02,SPXL,no change,no change,no change,no change,SPXL,10492.38,-89.64,-0.85,41.39
2024-09-26,10492.38,SPXL,10:24,TQQQ,15:55,SOXL,SPXL,10652.21,159.82,1.52,40.49
2024-09-27,10652.21,SPXL,11:19,TQQQ,15:55,TQQQ,SPXL,10451.04,-201.17,-1.89,41.62
2024-09-30,10451.04,SPXL,14:19,TQQQ,15:55,TQQQ,SPXL,10313.28,-137.76,-1.32,42.39
2024-10-01,10313.28,SPXL,09:34,TQQQ,15:55,TMF,SPXL,9919.17,-394.12,-3.82,44.59
2024-10-02,9919.17,SPXL,09:42,TQQQ,15:55,SOXS,SOXS,9779.37,-139.79,-1.41,45.37
2024-10-03,9779.37,SOXS,no change,no change,15:55,SOXL,SOXL,9800.48,21.1,0.22,45.25
2024-10-04,9800.48,SOXL,09:56,TQQQ,15:55,TQQQ,SOXL,10111.43,310.96,3.17,43.51
2024-10-07,10111.43,SOXL,08:00,TQQQ,15:55,TQQQ,SOXL,9919.69,-191.75,-1.9,44.58
2024-10-08,9919.69,SOXL,08:00,TQQQ,15:55,TQQQ,SOXL,10118.11,198.43,2.0,43.48
2024-10-09,10118.11,SOXL,no change,no change,no change,no change,SOXL,10359.96,241.85,2.39,42.13
2024-10-10,10359.96,SOXL,09:48,TQQQ,15:55,TQQQ,SOXL,10184.98,-174.99,-1.69,43.1
2024-10-11,10184.98,SOXL,no change,no change,no change,no change,SOXL,10352.18,167.2,1.64,42.17
2024-10-14,10352.18,SOXL,no change,no change,no change,no change,SOXL,10716.95,364.77,3.52,40.13
2024-10-15,10716.95,SOXL,10:30,TQQQ,15:55,SOXS,SOXS,9934.89,-782.05,-7.3,44.5
2024-10-16,9934.89,SOXS,no change,no change,no change,no change,SOXS,9891.93,-42.97,-0.43,44.74
2024-10-17,9891.93,SOXS,04:00,SOXS,no change,no change,CASH,9264.66,-627.26,-6.34,48.24
2024-10-18,9264.66,CASH,no change,no change,15:55,SOXS,SOXS,9263.74,-0.93,-0.01,48.25
2024-10-21,9263.74,SOXS,no change,no change,no change,no change,SOXS,9315.52,51.79,0.56,47.96
2024-10-22,9315.52,SOXS,no change,no change,no change,no change,SOXS,9338.43,22.91,0.25,47.83
2024-10-23,9338.43,SOXS,no change,no change,no change,no change,SOXS,9678.71,340.28,3.64,45.93
2024-10-24,9678.71,SOXS,no change,no change,no change,no change,SOXS,9510.6,-168.11,-1.74,46.87
2024-10-25,9510.6,SOXS,10:02,SOXS,no change,no change,CASH,8814.2,-696.4,-7.32,50.76
2024-10-28,8814.2,CASH,no change,no change,15:55,SOXS,SOXS,8813.32,-0.88,-0.01,50.77
2024-10-29,8813.32,SOXS,no change,no change,no change,no change,SOXS,8197.29,-616.03,-6.99,54.21
2024-10-30,8197.29,SOXS,no change,no change,no change,no change,SOXS,9018.87,821.58,10.02,49.62
2024-10-31,9018.87,SOXS,no change,no change,no change,no change,SOXS,10045.52,1026.65,11.38,43.88
2024-11-01,10045.52,SOXS,no change,no change,no change,no change,SOXS,9805.2,-240.32,-2.39,45.22
2024-11-04,9805.2,SOXS,no change,no change,15:55,SOXL,SOXL,9968.35,163.15,1.66,44.31
2024-11-05,9968.35,SOXL,no change,no change,15:55,SOXS,SOXS,10300.37,332.01,3.33,42.46
2024-11-06,10300.37,SOXS,04:00,SOXS,no change,no change,CASH,9815.27,-485.1,-4.71,45.17
2024-11-07,9815.27,CASH,no change,no change,15:55,SOXS,SOXS,9814.29,-0.98,-0.01,45.17
2024-11-08,9814.29,SOXS,no change,no change,no change,no change,SOXS,10078.44,264.15,2.69,43.7
2024-11-11,10078.44,SOXS,no change,no change,15:55,SOXL,SOXL,10847.82,769.38,7.63,39.4
2024-11-12,10847.82,SOXL,no change,no change,15:55,SOXS,SOXS,10516.94,-330.88,-3.05,41.25
