Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
2025-11-03,10978.01,SOXL,no change,no change,no change,no change,SOXL,11087.56,109.55,1.0,3.38,,
2025-11-04,11087.56,SOXL,no change,no change,no change,no change,SOXL,9767.23,-1320.33,-11.91,14.88,,
2025-11-05,9767.23,SOXL,15:50,SOXL,15:55,SOXL,SOXL,10830.09,1062.86,10.88,5.62,47.3901,47.255
2025-11-06,10830.09,SOXL,no change,no change,no change,no change,SOXL,9870.96,-959.14,-8.86,13.98,,
2025-11-07,9870.96,SOXL,no change,no change,no change,no change,SOXL,9446.17,-424.79,-4.3,17.68,,
2025-11-10,9446.17,SOXL,08:01,SOXL,15:55,SOXL,SOXL,10158.89,712.72,7.55,11.47,45.11,45.085
2025-11-11,10158.89,SOXL,no change,no change,no change,no change,SOXL,9420.94,-737.95,-7.26,17.9,,
2025-11-12,9420.94,SOXL,no change,no change,no change,no change,SOXL,9831.06,410.12,4.35,14.33,,
2025-11-13,9831.06,SOXL,no change,no change,no change,no change,SOXL,8818.19,-1012.87,-10.3,23.15,,
2025-11-14,8818.19,SOXL,no change,no change,no change,no change,SOXL,8741.74,-76.45,-0.87,23.82,,
2025-11-17,8741.74,SOXL,no change,no change,no change,no change,SOXL,8301.06,-440.67,-5.04,27.66,,
2025-11-18,8301.06,SOXL,no change,no change,no change,no change,SOXL,7816.61,-484.45,-5.84,31.88,,
2025-11-19,7816.61,SOXL,10:48,SOXL,15:55,SOXL,SOXL,8234.97,418.36,5.35,28.24,36.5893,36.22
2025-11-20,8234.97,SOXL,04:48,SOXL,15:55,SOXL,SOXL,8710.23,475.26,5.77,24.09,38.32,30.83
2025-11-21,8710.23,SOXL,no change,no change,no change,no change,SOXL,8941.9,231.67,2.66,22.08,,
2025-11-24,8941.9,SOXL,09:50,SOXL,15:55,SOXL,SOXL,9575.16,633.26,7.08,16.56,34.08,36.125
2025-11-25,9575.16,SOXL,no change,no change,no change,no change,SOXL,9599.01,23.86,0.25,16.35,,
2025-11-26,9599.01,SOXL,15:55,SOXL,15:55,SOXL,SOXL,10425.79,826.77,8.61,9.14,39.305,39.305
2025-11-28,10425.79,SOXL,no change,no change,no change,no change,SOXL,10891.31,465.52,4.47,5.09,,
2025-12-01,10891.31,SOXL,no change,no change,no change,no change,SOXL,10985.47,94.16,0.86,4.27,,
2025-12-02,10985.47,SOXL,no change,no change,no change,no change,SOXL,11611.47,626.0,5.7,0.0,,
2025-12-03,11611.47,SOXL,no change,no change,no change,no change,SOXL,12351.53,740.06,6.37,0.0,,
2025-12-04,12351.53,SOXL,no change,no change,no change,no change,SOXL,11948.34,-403.19,-3.26,3.26,,
2025-12-05,11948.34,SOXL,no change,no change,no change,no change,SOXL,12346.22,397.88,3.33,0.04,,
2025-12-08,12346.22,SOXL,no change,no change,no change,no change,SOXL,12660.55,314.33,2.55,0.0,,
2025-12-09,12660.55,SOXL,no change,no change,no change,no change,SOXL,12692.38,31.83,0.25,0.0,,
2025-12-10,12692.38,SOXL,no change,no change,no change,no change,SOXL,13226.86,534.49,4.21,0.0,,
2025-12-11,13226.86,SOXL,no change,no change,no change,no change,SOXL,12879.38,-347.48,-2.63,2.63,,
2025-12-12,12879.38,SOXL,no change,no change,no change,no change,SOXL,11054.44,-1824.94,-14.17,16.42,,
2025-12-15,11054.44,SOXL,no change,no change,no change,no change,SOXL,10884.67,-169.76,-1.54,17.71,,
2025-12-16,10884.67,SOXL,no change,no change,no change,no change,SOXL,10803.77,-80.9,-0.74,18.32,,
