Variant,Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-02,26840.31,SOXL,no change,no change,no change,no change,SOXL,28369.78,1529.47,5.7,0.0,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-03,28369.78,SOXL,no change,no change,no change,no change,SOXL,30177.93,1808.15,6.37,0.0,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-04,30177.93,SOXL,no change,no change,no change,no change,SOXL,29192.85,-985.08,-3.26,3.26,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-05,29192.85,SOXL,no change,no change,no change,no change,SOXL,30164.97,972.12,3.33,0.04,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-08,30164.97,SOXL,no change,no change,no change,no change,SOXL,30932.95,767.98,2.55,0.0,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-09,30932.95,SOXL,no change,no change,no change,no change,SOXL,31010.72,77.77,0.25,0.0,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-10,31010.72,SOXL,no change,no change,no change,no change,SOXL,32316.6,1305.88,4.21,0.0,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-11,32316.6,SOXL,no change,no change,no change,no change,SOXL,31467.61,-848.99,-2.63,2.63,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-12,31467.61,SOXL,no change,no change,no change,no change,SOXL,27008.81,-4458.8,-14.17,16.42,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-15,27008.81,SOXL,no change,no change,15:55,SOXS,SOXS,26588.72,-420.09,-1.56,17.72,,3.3545
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-16,26588.72,SOXS,no change,no change,no change,no change,SOXS,26633.49,44.77,0.17,17.59,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-17,26633.49,SOXS,no change,no change,no change,no change,SOXS,29977.29,3343.8,12.55,7.24,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-18,29977.29,SOXS,no change,no change,no change,no change,SOXS,27536.25,-2441.04,-8.14,14.79,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-19,27536.25,SOXS,09:45,SOXS,15:55,SOXL,SOXL,25336.52,-2199.73,-7.99,21.6,3.21,41.86
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-22,25336.52,SOXL,no change,no change,no change,no change,SOXL,26120.94,784.43,3.1,19.17,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-23,26120.94,SOXL,no change,no change,no change,no change,SOXL,26435.08,314.13,1.2,18.2,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-24,26435.08,SOXL,no change,no change,no change,no change,SOXL,26637.84,202.76,0.77,17.57,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-26,26637.84,SOXL,no change,no change,no change,no change,SOXL,26798.24,160.4,0.6,17.08,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-29,26798.24,SOXL,no change,no change,no change,no change,SOXL,26510.68,-287.56,-1.07,17.97,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-30,26510.68,SOXL,no change,no change,no change,no change,SOXL,26466.25,-44.43,-0.17,18.1,,
OV_sh6_h1_dd0w20_re1_SOXS,2025-12-31,26466.25,SOXL,no change,no change,no change,no change,SOXL,25636.12,-830.12,-3.14,20.67,,
