engine,stop_scope,protective_stop_pct,rv_gate_min_pct,rv_gate_window,windows,sum_delta_return,sum_delta_maxdd,sum_delta_equity,ret_improve_windows,dd_improve_windows,both_improve_windows,avg_delta_return_vs_base_pct,avg_delta_maxdd_vs_base_pct,avg_delta_equity_vs_base_usd,score
v1,inverse_only,6.0,0.0,20,8,-31.249546505535513,-10.488095379977661,-3124.9546505535436,3,4,3,-3.906193313191939,-1.3110119224972077,-390.61933131919295,-3.772407875512249
v1,inverse_only,6.0,40.0,20,8,-31.249546505535513,-10.488095379977661,-3124.9546505535436,3,4,3,-3.906193313191939,-1.3110119224972077,-390.61933131919295,-3.772407875512249
fev1,inverse_only,3.0,80.0,20,8,-34.326306860154745,1.2452818366916567,-3432.6306860154764,3,3,2,-4.290788357519343,0.1556602295864571,-429.07883575193455,-4.78213128510586
fev1,inverse_only,3.0,60.0,20,8,-35.35532622549644,1.245281836691655,-3535.5326225496356,3,3,2,-4.419415778187055,0.15566022958645687,-441.94157781870445,-4.923621447840342
v2,inverse_only,4.0,0.0,20,8,-39.11705705819886,-0.6448232936579004,-3911.705705819886,3,3,2,-4.8896321322748575,-0.08060291170723755,-488.96321322748577,-5.346354180819448
v2,inverse_only,4.0,40.0,20,8,-39.11705705819886,-0.6448232936579004,-3911.705705819886,3,3,2,-4.8896321322748575,-0.08060291170723755,-488.96321322748577,-5.346354180819448
v2,inverse_only,4.0,80.0,20,8,-42.394263148655135,-0.6448232936579021,-4239.42631486551,3,3,2,-5.299282893581892,-0.08060291170723777,-529.9282893581887,-5.796970018257186
v2,inverse_only,4.0,60.0,20,8,-46.032834732406364,-0.6448232936578879,-4603.283473240635,2,3,2,-5.7541043415507955,-0.08060291170723599,-575.4104341550794,-6.29727361102298
v1,inverse_only,6.0,60.0,20,8,-67.807933119979,-3.75085454119687,-6780.793311997895,2,3,2,-8.475991639997375,-0.46885681764960874,-847.5991639997369,-9.136048076937268
v1,inverse_only,6.0,80.0,20,8,-68.15048383065727,-3.625044668215632,-6815.048383065721,2,6,2,-8.518810478832158,-0.453130583526954,-851.8810478832152,-9.189439293304591
fev1,inverse_only,4.0,0.0,20,8,-103.81642690929694,2.584419357489402,-10381.642690929697,1,2,1,-12.977053363662117,0.32305241968617526,-1297.7053363662121,-14.4039796679028
