engine,window,period,stop_scope,protective_stop_pct,rv_gate_min_pct,rv_gate_window,initial_equity,final_equity,return_pct,maxdd_pct,maxdd_usd,events,delta_return_vs_base_pct,delta_maxdd_vs_base_pct,delta_equity_vs_base_usd
v1,5m,2025-11-09 to 2026-04-11,inverse_only,3.0,60.0,20,10000.0,24742.769569460484,147.42769569460484,14.232127714823015,3655.1010489076234,34,41.84812762317449,-7.898252333497673,4184.812762317451
v1,6m,2025-10-10 to 2026-04-11,inverse_only,3.0,60.0,20,10000.0,31569.353750815786,215.69353750815785,14.232127714823024,4663.5514138387025,42,74.44151955725007,-7.898252333497618,7444.15195572501
v1,1y,2025-04-11 to 2026-04-11,inverse_only,3.0,60.0,20,10000.0,32943.22388449287,229.43223884492872,18.43042436027515,6302.062092193328,90,89.77424668584155,-8.562217721220208,8977.424668584157
v1,10d,2026-04-01 to 2026-04-11,inverse_only,3.0,80.0,20,10000.0,13248.472812615217,32.48472812615218,3.657312939066174,502.931904004281,3,12.391666436597951,-9.011200449668818,1239.1666436597952
v1,1m,2026-03-12 to 2026-04-11,inverse_only,3.0,80.0,20,10000.0,14592.390869605053,45.92390869605052,12.744600948303287,1930.340580984188,9,18.81527752316687,-0.006555095552460699,1881.5277523166878
v1,2m,2026-02-09 to 2026-04-11,inverse_only,3.0,80.0,20,10000.0,22302.411291122753,123.02411291122755,12.744600948303278,2950.2533172084204,18,6.271126406278611,-0.006555095552476686,627.11264062786
v1,3m,2026-01-09 to 2026-04-11,inverse_only,3.0,80.0,20,10000.0,20774.09315897082,107.74093158970821,12.74460094830329,2748.0812031587757,25,5.223337250521354,-0.006555095552466028,522.3337250521363
v1,4m,2025-12-10 to 2026-04-11,inverse_only,3.0,80.0,20,10000.0,18507.162380305595,85.07162380305596,14.619158116721279,2808.299637297877,29,27.176271604472227,-7.516752351153842,2717.627160447222
v1,5m,2025-11-09 to 2026-04-11,inverse_only,3.0,80.0,20,10000.0,24096.3042635094,140.96304263509398,14.61395293984024,3655.1010489076234,33,35.38347456366364,-7.516427108480448,3538.347456366366
v1,6m,2025-10-10 to 2026-04-11,inverse_only,3.0,80.0,20,10000.0,30744.52725457793,207.4452725457793,14.61395293984024,4663.5514138387025,41,66.19325459487152,-7.516427108480402,6619.325459487154
v1,1y,2025-04-11 to 2026-04-11,inverse_only,3.0,80.0,20,10000.0,31484.79158638748,214.8479158638748,20.5790012997249,6725.217935514322,86,75.18992370478762,-6.413640781770457,7518.992370478765
v1,10d,2026-04-01 to 2026-04-11,inverse_only,4.0,0.0,20,10000.0,13121.421532518767,31.214215325187666,4.581227860593425,629.9831841007308,3,11.12115363563344,-8.087285528141567,1112.1153635633455
v1,1m,2026-03-12 to 2026-04-11,inverse_only,4.0,0.0,20,10000.0,14272.63465043393,42.726346504339304,12.744600948303287,1906.3233473068867,9,15.617715331455656,-0.006555095552460699,1561.7715331455656
v1,2m,2026-02-09 to 2026-04-11,inverse_only,4.0,0.0,20,10000.0,20848.3314792998,108.483314792998,12.744600948303274,2784.6057875638235,18,-8.269671711950934,-0.006555095552480239,-826.9671711950941
v1,3m,2026-01-09 to 2026-04-11,inverse_only,4.0,0.0,20,10000.0,19047.2662545424,90.47266254542399,12.744600948303287,2544.0466496002427,26,-12.04493179376287,-0.006555095552469581,-1204.4931793762844
v1,4m,2025-12-10 to 2026-04-11,inverse_only,4.0,0.0,20,10000.0,16604.628886674887,66.04628886674888,17.478923415573494,3041.655537446898,30,8.150936668165151,-4.656987052301627,815.0936668165141
v1,5m,2025-11-09 to 2026-04-11,inverse_only,4.0,0.0,20,10000.0,21619.2078295997,116.192078295997,17.473177473772093,3958.9301641511156,34,10.612510224566662,-4.657202574548595,1061.2510224566686
v1,6m,2025-10-10 to 2026-04-11,inverse_only,4.0,0.0,20,10000.0,25282.25903284828,152.82259032848282,17.473177473772076,4629.711629210895,42,11.570572377575047,-4.657202574548567,1157.0572377575045
v1,1y,2025-04-11 to 2026-04-11,inverse_only,4.0,0.0,20,10000.0,28884.330600909565,188.84330600909567,19.933075908478063,6033.965241056883,94,49.1853138500085,-7.059566173017295,4918.53138500085
v1,10d,2026-04-01 to 2026-04-11,inverse_only,4.0,40.0,20,10000.0,13121.421532518767,31.214215325187666,4.581227860593425,629.9831841007308,3,11.12115363563344,-8.087285528141567,1112.1153635633455
v1,1m,2026-03-12 to 2026-04-11,inverse_only,4.0,40.0,20,10000.0,14272.63465043393,42.726346504339304,12.744600948303287,1906.3233473068867,9,15.617715331455656,-0.006555095552460699,1561.7715331455656
v1,2m,2026-02-09 to 2026-04-11,inverse_only,4.0,40.0,20,10000.0,20848.3314792998,108.483314792998,12.744600948303274,2784.6057875638235,18,-8.269671711950934,-0.006555095552480239,-826.9671711950941
v1,3m,2026-01-09 to 2026-04-11,inverse_only,4.0,40.0,20,10000.0,19047.2662545424,90.47266254542399,12.744600948303287,2544.0466496002427,26,-12.04493179376287,-0.006555095552469581,-1204.4931793762844
v1,4m,2025-12-10 to 2026-04-11,inverse_only,4.0,40.0,20,10000.0,16604.628886674887,66.04628886674888,17.478923415573494,3041.655537446898,30,8.150936668165151,-4.656987052301627,815.0936668165141
v1,5m,2025-11-09 to 2026-04-11,inverse_only,4.0,40.0,20,10000.0,21619.2078295997,116.192078295997,17.473177473772093,3958.9301641511156,34,10.612510224566662,-4.657202574548595,1061.2510224566686
v1,6m,2025-10-10 to 2026-04-11,inverse_only,4.0,40.0,20,10000.0,25282.25903284828,152.82259032848282,17.473177473772076,4629.711629210895,42,11.570572377575047,-4.657202574548567,1157.0572377575045
v1,1y,2025-04-11 to 2026-04-11,inverse_only,4.0,40.0,20,10000.0,28884.330600909565,188.84330600909567,19.933075908478063,6033.965241056883,94,49.1853138500085,-7.059566173017295,4918.53138500085
v1,10d,2026-04-01 to 2026-04-11,inverse_only,4.0,60.0,20,10000.0,13121.421532518767,31.214215325187666,4.581227860593425,629.9831841007308,3,11.12115363563344,-8.087285528141567,1112.1153635633455
v1,1m,2026-03-12 to 2026-04-11,inverse_only,4.0,60.0,20,10000.0,14272.63465043393,42.726346504339304,12.744600948303287,1906.3233473068867,9,15.617715331455656,-0.006555095552460699,1561.7715331455656
v1,2m,2026-02-09 to 2026-04-11,inverse_only,4.0,60.0,20,10000.0,20848.3314792998,108.483314792998,12.744600948303274,2784.6057875638235,18,-8.269671711950934,-0.006555095552480239,-826.9671711950941
v1,3m,2026-01-09 to 2026-04-11,inverse_only,4.0,60.0,20,10000.0,19047.2662545424,90.47266254542399,12.744600948303287,2544.0466496002427,26,-12.04493179376287,-0.006555095552469581,-1204.4931793762844
v1,4m,2025-12-10 to 2026-04-11,inverse_only,4.0,60.0,20,10000.0,16604.628886674887,66.04628886674888,17.478923415573494,3041.655537446898,30,8.150936668165151,-4.656987052301627,815.0936668165141
v1,5m,2025-11-09 to 2026-04-11,inverse_only,4.0,60.0,20,10000.0,21619.2078295997,116.192078295997,17.473177473772093,3958.9301641511156,34,10.612510224566662,-4.657202574548595,1061.2510224566686
v1,6m,2025-10-10 to 2026-04-11,inverse_only,4.0,60.0,20,10000.0,25282.25903284828,152.82259032848282,17.473177473772076,4629.711629210895,42,11.570572377575047,-4.657202574548567,1157.0572377575045
v1,1y,2025-04-11 to 2026-04-11,inverse_only,4.0,60.0,20,10000.0,25663.21594068254,156.6321594068254,25.67324254774498,6904.909302728278,90,16.974167247738222,-1.3193995337503779,1697.416724773826
v1,10d,2026-04-01 to 2026-04-11,inverse_only,4.0,80.0,20,10000.0,13121.421532518767,31.214215325187666,4.581227860593425,629.9831841007308,3,11.12115363563344,-8.087285528141567,1112.1153635633455
v1,1m,2026-03-12 to 2026-04-11,inverse_only,4.0,80.0,20,10000.0,14272.63465043393,42.726346504339304,12.744600948303287,1906.3233473068867,9,15.617715331455656,-0.006555095552460699,1561.7715331455656
v1,2m,2026-02-09 to 2026-04-11,inverse_only,4.0,80.0,20,10000.0,20848.3314792998,108.483314792998,12.744600948303274,2784.6057875638235,18,-8.269671711950934,-0.006555095552480239,-826.9671711950941
v1,3m,2026-01-09 to 2026-04-11,inverse_only,4.0,80.0,20,10000.0,18787.209211010864,87.87209211010864,12.744600948303285,2509.3121506196567,25,-14.645502229078218,-0.006555095552471357,-1464.5502229078193
