Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
2025-09-23,6844.83,SOXL,no change,no change,no change,no change,SOXL,6802.19,-42.64,-0.62,58.94,,
2025-09-24,6802.19,SOXL,no change,no change,no change,no change,SOXL,6756.57,-45.62,-0.67,59.22,,
2025-09-25,6756.57,SOXL,no change,no change,no change,no change,SOXL,6698.06,-58.51,-0.87,59.57,,
2025-09-26,6698.06,SOXL,no change,no change,no change,no change,SOXL,6739.71,41.65,0.62,59.32,,
2025-09-29,6739.71,SOXL,no change,no change,no change,no change,SOXL,6753.6,13.88,0.21,59.23,,
2025-09-30,6753.6,SOXL,no change,no change,no change,no change,SOXL,6893.43,139.83,2.07,58.39,,
2025-10-01,6893.43,SOXL,no change,no change,no change,no change,SOXL,7312.92,419.5,6.09,55.86,,
2025-10-02,7312.92,SOXL,no change,no change,no change,no change,SOXL,7740.35,427.43,5.84,53.28,,
2025-10-03,7740.35,SOXL,no change,no change,no change,no change,SOXL,7590.61,-149.75,-1.93,54.18,,
2025-10-06,7590.61,SOXL,08:00,SOXL,15:55,SOXL,SOXL,8086.39,495.79,6.53,51.19,38.9,41.8197
2025-10-07,8086.39,SOXL,no change,no change,no change,no change,SOXL,7525.7,-560.7,-6.93,54.57,,
2025-10-08,7525.7,SOXL,no change,no change,no change,no change,SOXL,8280.78,755.08,10.03,50.02,,
2025-10-09,8280.78,SOXL,no change,no change,no change,no change,SOXL,8143.49,-137.29,-1.66,50.85,,
2025-10-10,8143.49,SOXL,no change,no change,no change,no change,SOXL,6675.87,-1467.63,-18.02,59.7,,
2025-10-13,6675.87,SOXL,04:00,SOXL,15:55,SOXL,SOXL,7235.4,559.54,8.38,56.33,37.81,39.145
2025-10-14,7235.4,SOXL,no change,no change,no change,no change,SOXL,6771.47,-463.94,-6.41,59.13,,
2025-10-15,6771.47,SOXL,09:31,SOXL,15:55,SOXL,SOXL,7186.17,414.7,6.12,56.62,38.7844,39.7899
2025-10-16,7186.17,SOXL,no change,no change,no change,no change,SOXL,7310.8,124.63,1.73,55.87,,
2025-10-17,7310.8,SOXL,no change,no change,no change,no change,SOXL,7260.23,-50.57,-0.69,56.18,,
2025-10-20,7260.23,SOXL,no change,no change,no change,no change,SOXL,7661.39,401.16,5.53,53.76,,
2025-10-21,7661.39,SOXL,no change,no change,no change,no change,SOXL,7523.01,-138.38,-1.81,54.59,,
2025-10-22,7523.01,SOXL,no change,no change,15:55,SOXS,SOXS,6900.36,-622.65,-8.28,58.35,,4.235
2025-10-23,6900.36,SOXS,no change,no change,15:55,SOXL,SOXL,6353.61,-546.75,-7.92,61.65,,41.24
2025-10-24,6353.61,SOXL,no change,no change,no change,no change,SOXL,6694.86,341.25,5.37,59.59,,
2025-10-27,6694.86,SOXL,13:24,SOXL,15:55,SOXL,SOXL,7118.93,424.07,6.33,57.03,46.21,46.935
2025-10-28,7118.93,SOXL,no change,no change,no change,no change,SOXL,7137.89,18.96,0.27,56.91,,
2025-10-29,7137.89,SOXL,10:17,SOXL,15:55,SOXL,SOXL,7543.6,405.71,5.68,54.47,49.715,49.505
