Date,runtime_switch_loop.py Day End Equity,runtime_switch_loop.py PnL ($),runtime_switch_loop.py Return %,runtime_switch_loop.py Drawdown %,runtime_switch_loop_v2_controlplane.py Day End Equity,runtime_switch_loop_v2_controlplane.py PnL ($),runtime_switch_loop_v2_controlplane.py Return %,runtime_switch_loop_v2_controlplane.py Drawdown %,FEV1-0001 Day End Equity,FEV1-0001 PnL ($),FEV1-0001 Return %,FEV1-0001 Drawdown %,fev1_best Day End Equity,fev1_best PnL ($),fev1_best Return %,fev1_best Drawdown %
2022-08-17,7847.23,-315.62,-3.87,62.35,7654.37,-307.86,-3.87,54.55,6550.45,-263.46,-3.87,57.43,7541.1,-303.3,-3.87,53.03
2022-08-18,7995.43,148.2,1.89,61.63,7798.92,144.56,1.89,53.7,6674.15,123.71,1.89,56.62,7683.51,142.42,1.89,52.14
2022-08-19,7588.25,-407.18,-5.09,63.59,7401.75,-397.18,-5.09,56.05,6334.26,-339.89,-5.09,58.83,7292.22,-391.3,-5.09,54.58
2022-08-22,7027.13,-561.12,-7.39,66.28,6854.42,-547.33,-7.39,59.3,5865.87,-468.39,-7.39,61.88,6752.99,-539.23,-7.39,57.94
2022-08-23,7070.0,42.87,0.61,66.07,6896.24,41.82,0.61,59.06,5901.66,35.79,0.61,61.65,6794.19,41.2,0.61,57.68
2022-08-24,7123.7,53.7,0.76,65.82,6948.62,52.38,0.76,58.75,5946.48,44.83,0.76,61.35,6845.79,51.61,0.76,57.36
2022-08-25,7407.45,283.75,3.98,64.46,7225.39,276.77,3.98,57.1,6183.34,236.86,3.98,59.81,7118.47,272.68,3.98,55.66
2022-08-26,6726.3,-681.15,-9.2,67.72,6560.99,-664.41,-9.2,61.05,5614.75,-568.59,-9.2,63.51,6463.9,-654.58,-9.2,59.74
2022-08-29,6564.37,-161.93,-2.41,68.5,6403.04,-157.95,-2.41,61.98,5479.59,-135.17,-2.41,64.39,6308.29,-155.61,-2.41,60.71
2022-08-30,6526.87,-37.51,-0.57,68.68,6366.46,-36.58,-0.57,62.2,5448.28,-31.31,-0.57,64.59,6272.24,-36.04,-0.57,60.93
2022-08-31,6445.54,-81.33,-1.25,69.07,6287.13,-79.33,-1.25,62.67,5380.39,-67.89,-1.25,65.03,6194.09,-78.16,-1.25,61.42
2022-09-01,6264.2,-181.34,-2.81,69.94,6110.25,-176.88,-2.81,63.72,5229.02,-151.37,-2.81,66.02,6019.83,-174.26,-2.81,62.51
2022-09-02,6506.66,242.46,3.87,68.78,6346.75,236.5,3.87,62.32,5431.41,202.39,3.87,64.7,6252.83,233.0,3.87,61.06
2022-09-06,6292.68,-213.99,-3.29,69.8,6138.02,-208.73,-3.29,63.56,5252.79,-178.62,-3.29,65.86,6047.19,-205.64,-3.29,62.34
2022-09-07,6615.58,322.9,5.13,68.26,6452.99,314.97,5.13,61.69,5522.33,269.54,5.13,64.11,6357.5,310.31,5.13,60.4
2022-09-08,6879.98,264.4,4.0,66.99,6710.89,257.9,4.0,60.16,5743.04,220.7,4.0,62.68,6611.58,254.08,4.0,58.82
2022-09-09,7226.76,346.78,5.04,65.32,7049.14,338.26,5.04,58.15,6032.51,289.47,5.04,60.79,6944.83,333.25,5.04,56.75
2022-09-12,7245.82,19.06,0.26,65.23,7067.74,18.6,0.26,58.04,6048.42,15.91,0.26,60.69,6963.15,18.32,0.26,56.63
2022-09-13,5919.36,-1326.46,-18.31,71.6,5773.88,-1293.86,-18.31,65.72,4941.17,-1107.25,-18.31,67.89,5688.44,-1274.71,-18.31,64.57
2022-09-14,6106.16,186.79,3.16,70.7,5956.08,182.2,3.16,64.64,5097.09,155.92,3.16,66.87,5867.94,179.5,3.16,63.45
2022-09-15,5869.73,-236.43,-3.87,71.83,5725.47,-230.62,-3.87,66.01,4899.73,-197.36,-3.87,68.16,5640.74,-227.2,-3.87,64.87
2022-09-16,5938.31,68.58,1.17,71.51,5792.36,66.9,1.17,65.61,4956.98,57.25,1.17,67.78,5706.65,65.91,1.17,64.46
2022-09-19,6029.62,91.3,1.54,71.07,5881.42,89.06,1.54,65.08,5033.2,76.22,1.54,67.29,5794.39,87.74,1.54,63.91
2022-09-20,5781.92,-247.7,-4.11,72.26,5639.81,-241.61,-4.11,66.52,4826.43,-206.76,-4.11,68.63,5556.35,-238.03,-4.11,65.39
2022-09-21,6253.84,471.92,8.16,69.99,6100.14,460.32,8.16,63.78,5220.37,393.93,8.16,66.07,6009.87,453.51,8.16,62.57
2022-09-22,5694.81,-559.03,-8.94,72.67,5554.84,-545.29,-8.94,67.02,4753.72,-466.65,-8.94,69.11,5472.64,-537.22,-8.94,65.91
2022-09-23,5958.2,263.39,4.63,71.41,5811.77,256.92,4.63,65.49,4973.59,219.87,4.63,67.68,5725.76,253.12,4.63,64.34
2022-09-26,6060.18,101.98,1.71,70.92,5911.24,99.48,1.71,64.9,5058.72,85.13,1.71,67.12,5823.77,98.0,1.71,63.73
2022-09-27,6083.54,23.35,0.39,70.81,5934.02,22.78,0.39,64.77,5078.21,19.49,0.39,67.0,5846.21,22.44,0.39,63.59
2022-09-28,5706.69,-376.85,-6.19,72.62,5566.43,-367.59,-6.19,66.95,4763.64,-314.57,-6.19,69.04,5484.06,-362.15,-6.19,65.84
2022-09-29,6193.61,486.92,8.53,70.28,6041.39,474.96,8.53,64.13,5170.09,406.46,8.53,66.4,5951.99,467.93,8.53,62.93
2022-09-30,6230.61,36.99,0.6,70.1,6077.47,36.08,0.6,63.92,5200.98,30.88,0.6,66.2,5987.54,35.55,0.6,62.71
2022-10-03,5925.54,-305.07,-4.9,71.57,5779.9,-297.57,-4.9,65.68,4946.32,-254.65,-4.9,67.85,5694.37,-293.17,-4.9,64.53
2022-10-04,5600.51,-325.02,-5.49,73.13,5462.87,-317.03,-5.49,67.57,4675.01,-271.31,-5.49,69.62,5382.03,-312.34,-5.49,66.48
2022-10-05,5629.47,28.95,0.52,72.99,5491.11,28.24,0.52,67.4,4699.18,24.17,0.52,69.46,5409.85,27.82,0.52,66.31
2022-10-06,5746.09,116.63,2.07,72.43,5604.87,113.76,2.07,66.72,4796.53,97.35,2.07,68.83,5521.93,112.08,2.07,65.61
2022-10-07,6363.84,617.75,10.75,69.46,6207.44,602.57,10.75,63.15,5312.19,515.66,10.75,65.48,6115.58,593.65,10.75,61.91
2022-10-10,6559.42,195.58,3.07,68.52,6398.21,190.78,3.07,62.01,5475.46,163.26,3.07,64.42,6303.53,187.95,3.07,60.74
2022-10-11,6557.7,-1.73,-0.03,68.53,6396.53,-1.68,-0.03,62.02,5474.01,-1.44,-0.03,64.42,6301.87,-1.66,-0.03,60.75
2022-10-12,6608.51,50.81,0.77,68.29,6446.09,49.56,0.77,61.73,5516.43,42.42,0.77,64.15,6350.7,48.83,0.77,60.45
2022-10-13,6505.01,-103.5,-1.57,68.79,6345.14,-100.95,-1.57,62.33,5430.03,-86.39,-1.57,64.71,6251.24,-99.46,-1.57,61.07
2022-10-14,6980.68,475.67,7.31,66.5,6809.11,463.98,7.31,59.57,5827.1,397.06,7.31,62.13,6708.35,457.11,7.31,58.22
2022-10-17,6435.08,-545.6,-7.82,69.12,6276.93,-532.19,-7.82,62.73,5371.66,-455.43,-7.82,65.09,6184.04,-524.31,-7.82,61.48
2022-10-18,6256.5,-178.59,-2.78,69.98,6102.73,-174.2,-2.78,63.77,5222.59,-149.08,-2.78,66.06,5761.33,-422.71,-6.84,64.12
2022-10-19,6357.1,100.61,1.61,69.5,6200.86,98.13,1.61,63.18,5306.57,83.98,1.61,65.51,5760.75,-0.58,-0.01,64.12
2022-10-20,6449.16,92.05,1.45,69.05,6290.65,89.79,1.45,62.65,5383.41,76.84,1.45,65.01,5672.04,-88.71,-1.54,64.67
2022-10-21,6009.05,-440.11,-6.82,71.17,5861.36,-429.29,-6.82,65.2,5016.03,-367.38,-6.82,67.4,5471.37,-200.67,-3.54,65.92
2022-10-24,5825.28,-183.77,-3.06,72.05,5682.11,-179.25,-3.06,66.26,4862.63,-153.4,-3.06,68.4,5391.79,-79.57,-1.45,66.42
2022-10-25,5496.8,-328.48,-5.64,73.62,5361.7,-320.41,-5.64,68.17,4588.43,-274.2,-5.64,70.18,5198.72,-193.07,-3.58,67.62
2022-10-26,5719.95,223.15,4.06,72.55,5579.37,217.66,4.06,66.87,4774.7,186.27,4.06,68.97,5198.2,-0.52,-0.01,67.62
2022-10-27,5785.47,65.52,1.15,72.24,5643.28,63.91,1.15,66.5,4829.4,54.69,1.15,68.61,5258.51,60.3,1.16,67.25
2022-10-28,5625.01,-160.46,-2.77,73.01,5486.76,-156.52,-2.77,67.42,4695.45,-133.95,-2.77,69.48,5118.18,-140.33,-2.67,68.12
2022-10-31,5770.66,145.65,2.59,72.31,5628.83,142.07,2.59,66.58,4817.03,121.58,2.59,68.69,5196.72,78.54,1.53,67.63
2022-11-01,5831.81,61.16,1.06,72.02,5688.48,59.65,1.06,66.23,4868.08,51.05,1.06,68.36,5251.79,55.07,1.06,67.29
2022-11-02,6261.01,429.19,7.36,69.96,6107.13,418.65,7.36,63.74,5226.35,358.27,7.36,66.03,5638.3,386.51,7.36,64.88
2022-11-03,6476.67,215.66,3.44,68.92,6317.49,210.36,3.44,62.49,5406.38,180.03,3.44,64.86,5832.51,194.21,3.44,63.67
2022-11-04,6455.41,-21.26,-0.33,69.02,6296.75,-20.74,-0.33,62.62,5388.63,-17.75,-0.33,64.98,5813.36,-19.15,-0.33,63.79
2022-11-07,6258.81,-196.6,-3.05,69.97,6104.98,-191.77,-3.05,63.75,5224.52,-164.11,-3.05,66.05,5636.32,-177.04,-3.05,64.9
2022-11-08,6128.23,-130.58,-2.09,70.59,5977.62,-127.37,-2.09,64.51,5115.52,-109.0,-2.09,66.75,5518.73,-117.59,-2.09,65.63
2022-11-09,6553.34,425.11,6.94,68.55,6392.27,414.66,6.94,62.05,5469.83,354.31,6.93,64.45,5900.96,382.23,6.93,63.25
2022-11-10,5775.62,-777.72,-11.87,72.29,5633.67,-758.6,-11.87,66.55,6108.85,639.03,11.68,60.3,6590.36,689.4,11.68,58.95
2022-11-11,6050.34,274.71,4.76,70.97,5901.64,267.96,4.76,64.96,6399.41,290.56,4.76,58.41,6903.82,313.46,4.76,57.0
2022-11-14,5886.24,-164.09,-2.71,71.75,5741.58,-160.06,-2.71,65.91,6225.85,-173.56,-2.71,59.54,6716.58,-187.24,-2.71,58.17
2022-11-15,6194.58,308.34,5.24,70.28,6042.33,300.76,5.24,64.13,6551.97,326.12,5.24,57.42,7068.4,351.82,5.24,55.98
2022-11-16,5899.07,-295.51,-4.77,71.69,5754.09,-288.24,-4.77,65.84,6239.42,-312.55,-4.77,59.45,6731.21,-337.19,-4.77,58.08
2022-11-17,5882.57,-16.5,-0.28,71.77,5737.99,-16.1,-0.28,65.93,6221.96,-17.45,-0.28,59.56,6712.39,-18.83,-0.28,58.19
2022-11-18,5960.29,77.72,1.32,71.4,5813.8,75.81,1.32,65.48,6304.16,82.2,1.32,59.03,6801.06,88.68,1.32,57.64
2022-11-21,5882.81,-77.47,-1.3,71.77,5738.23,-75.57,-1.3,65.93,6222.22,-81.94,-1.3,59.56,6712.66,-88.4,-1.3,58.19
2022-11-22,6195.16,312.35,5.31,70.27,6042.9,304.67,5.31,64.12,6552.58,330.36,5.31,57.41,7069.06,356.4,5.31,55.97
2022-11-23,6378.71,183.55,2.96,69.39,6221.94,179.04,2.96,63.06,6746.72,194.14,2.96,56.15,7278.51,209.44,2.96,54.67
2022-11-25,6310.6,-68.11,-1.07,69.72,6155.5,-66.44,-1.07,63.45,6674.68,-72.04,-1.07,56.62,7200.79,-77.72,-1.07,55.15
2022-11-28,6075.11,-235.49,-3.73,70.85,5925.8,-229.7,-3.73,64.82,6425.61,-249.07,-3.73,58.24,6932.09,-268.7,-3.73,56.82
2022-11-29,5975.59,-99.52,-1.64,71.33,5828.73,-97.07,-1.64,65.39,6320.35,-105.26,-1.64,58.92,6818.53,-113.56,-1.64,57.53
2022-11-30,6468.07,492.48,8.24,68.96,6309.1,480.37,8.24,62.54,6841.24,520.88,8.24,55.54,7380.47,561.94,8.24,54.03
2022-12-01,6653.44,185.37,2.87,68.07,6489.92,180.81,2.87,61.47,7037.3,196.06,2.87,54.26,7591.98,211.51,2.87,52.71
2022-12-02,6618.1,-35.34,-0.53,68.24,6455.45,-34.47,-0.53,61.67,6999.92,-37.38,-0.53,54.51,7551.66,-40.32,-0.53,52.97
2022-12-05,6414.51,-203.59,-3.08,69.22,6256.86,-198.58,-3.08,62.85,6784.59,-215.33,-3.08,55.91,7319.36,-232.31,-3.08,54.41
2022-12-06,6368.17,-46.35,-0.72,69.44,6211.66,-45.21,-0.72,63.12,6735.57,-49.02,-0.72,56.23,7266.47,-52.88,-0.72,54.74
2022-12-07,6395.72,27.55,0.43,69.31,6238.53,26.88,0.43,62.96,6764.71,29.14,0.43,56.04,7297.91,31.44,0.43,54.55
2022-12-08,6728.14,332.42,5.2,67.72,6562.78,324.25,5.2,61.04,7116.3,351.59,5.2,53.75,7677.22,379.31,5.2,52.18
2022-12-09,6888.93,160.79,2.39,66.94,6719.62,156.84,2.39,60.1,7286.37,170.07,2.39,52.65,7860.69,183.48,2.39,51.04
2022-12-12,6535.2,-353.73,-5.13,68.64,6373.3,-346.31,-5.15,62.16,6910.85,-375.52,-5.15,55.09,7455.57,-405.12,-5.15,53.56
2022-12-13,6163.63,-371.57,-5.69,70.42,7483.67,1110.37,17.42,55.57,8114.87,1204.02,17.42,47.26,8754.49,1298.92,17.42,45.47
2022-12-14,6456.36,292.73,4.75,69.02,7131.44,-352.23,-4.71,57.66,7732.93,-381.94,-4.71,49.74,8342.45,-412.05,-4.71,48.04
2022-12-15,7303.46,847.09,13.12,64.95,6199.34,-932.1,-13.07,63.19,6722.21,-1010.72,-13.07,56.31,7252.06,-1090.39,-13.07,54.83
2022-12-16,7176.5,-126.96,-1.74,65.56,6091.57,-107.77,-1.74,63.83,6605.35,-116.86,-1.74,57.07,7125.99,-126.07,-1.74,55.62
2022-12-19,6838.0,-338.5,-4.72,67.19,5804.25,-287.32,-4.72,65.54,6293.79,-311.56,-4.72,59.1,6789.88,-336.12,-4.72,57.71
2022-12-20,6776.03,-61.97,-0.91,67.49,5751.64,-52.6,-0.91,65.85,6236.76,-57.04,-0.91,59.47,6728.34,-61.53,-0.91,58.09
2022-12-21,6985.02,208.99,3.08,66.48,5929.04,177.39,3.08,64.8,6429.11,192.36,3.08,58.22,6935.86,207.52,3.08,56.8
2022-12-22,6112.91,-872.1,-12.49,70.67,5188.77,-740.26,-12.49,69.19,5626.41,-802.7,-12.49,63.43,6069.89,-865.97,-12.49,62.19
2022-12-23,6122.17,9.26,0.15,70.62,5196.64,7.86,0.15,69.15,5634.94,8.52,0.15,63.38,6079.09,9.2,0.15,62.14
2022-12-27,5812.51,-309.66,-5.06,72.11,4933.79,-262.85,-5.06,70.71,5349.92,-285.02,-5.06,65.23,5771.6,-307.49,-5.06,64.05
2022-12-28,5540.14,-272.37,-4.69,73.42,4702.6,-231.19,-4.69,72.08,5099.23,-250.69,-4.69,66.86,5501.15,-270.45,-4.69,65.74
2022-12-29,5756.69,216.55,3.91,72.38,4886.4,183.81,3.91,70.99,5298.54,199.31,3.91,65.56,5716.18,215.02,3.91,64.4
2022-12-30,5674.32,-82.36,-1.43,72.77,4816.49,-69.91,-1.43,71.4,5222.73,-75.81,-1.43,66.06,5634.39,-81.78,-1.43,64.91
2023-01-03,5509.33,-165.0,-2.91,73.56,4676.44,-140.05,-2.91,72.24,5070.87,-151.86,-2.91,67.04,5470.56,-163.83,-2.91,65.93
2023-01-04,5879.24,369.91,6.71,71.79,4990.43,313.99,6.71,70.37,5411.34,340.47,6.71,64.83,5837.86,367.31,6.71,63.64
2023-01-05,5590.41,-288.83,-4.91,73.17,4745.27,-245.16,-4.91,71.83,5145.5,-265.84,-4.91,66.56,5551.07,-286.79,-4.91,65.43
2023-01-06,6343.18,752.77,13.47,69.56,5384.23,638.96,13.47,68.03,5838.35,692.86,13.47,62.06,6298.54,747.47,13.47,60.77
2023-01-09,6600.18,257.0,4.05,68.33,5602.38,218.15,4.05,66.74,6074.9,236.55,4.05,60.52,6553.73,255.19,4.05,59.18
2023-01-10,6913.61,313.43,4.75,66.83,5868.43,266.05,4.75,65.16,6363.39,288.49,4.75,58.64,6864.96,311.23,4.75,57.24
2023-01-11,7143.39,229.78,3.32,65.72,6063.47,195.04,3.32,64.0,6574.88,211.5,3.32,57.27,7093.12,228.17,3.32,55.82
2023-01-12,7408.16,264.77,3.71,64.45,6288.21,224.74,3.71,62.67,6818.58,243.69,3.71,55.69,7356.02,262.9,3.71,54.18
2023-01-13,7514.45,106.3,1.43,63.94,6378.44,90.23,1.43,62.13,6916.41,97.84,1.43,55.05,7461.57,105.55,1.43,53.53
2023-01-17,7561.56,47.11,0.63,63.72,6418.42,39.99,0.63,61.89,6959.78,43.36,0.63,54.77,7508.35,46.78,0.63,53.24
2023-01-18,7442.86,-118.71,-1.57,64.29,6317.66,-100.76,-1.57,62.49,6850.51,-109.26,-1.57,55.48,7390.48,-117.87,-1.57,53.97
2023-01-19,6833.91,-608.94,-8.18,67.21,5800.78,-516.88,-8.18,65.56,6290.03,-560.48,-8.18,59.12,6785.82,-604.66,-8.18,57.74
2023-01-20,7425.13,591.22,8.65,64.37,6302.62,501.84,8.65,62.58,6834.2,544.17,8.65,55.58,7372.88,587.06,8.65,54.08
2023-01-23,8448.72,1023.59,13.79,59.46,7171.46,868.85,13.79,57.42,7776.33,942.13,13.79,49.46,8389.27,1016.39,13.79,47.75
2023-01-24,8678.18,229.46,2.72,58.36,6974.68,-196.78,-2.74,58.59,7562.95,-213.38,-2.74,50.85,8159.07,-230.2,-2.74,49.18
2023-01-25,8730.57,52.39,0.6,58.11,7016.79,42.11,0.6,58.34,7608.61,45.66,0.6,50.55,8208.33,49.26,0.6,48.88
2023-01-26,9164.42,433.85,4.97,56.02,7365.48,348.69,4.97,56.27,7986.71,378.1,4.97,48.09,8616.23,407.9,4.97,46.34
