Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %
2025-06-03,10136.42,SPXL,14:03,SOXL,15:55,SOXL,SPXL,10524.88,388.47,3.83,5.0
2025-06-04,10524.88,SOXL,10:08,TQQQ,15:55,TQQQ,SOXL,10635.47,110.58,1.05,4.0
2025-06-05,10635.47,SOXL,08:49,TQQQ,15:55,TQQQ,SOXL,10560.27,-75.2,-0.71,4.68
2025-06-06,10560.27,SOXL,no change,no change,no change,no change,SOXL,10824.01,263.75,2.5,2.29
2025-06-09,10824.01,SOXL,10:55,SOXL,15:55,SOXL,SOXL,11117.6,293.58,2.71,0.0
2025-06-10,11117.6,SOXL,08:00,TQQQ,15:55,TQQQ,SOXL,11368.2,250.6,2.25,0.0
2025-06-11,11368.2,SOXL,09:46,TQQQ,15:55,TQQQ,SOXL,11287.15,-81.05,-0.71,0.71
2025-06-12,11287.15,SOXL,19:59,TQQQ,15:55,TQQQ,SOXL,11313.34,26.2,0.23,0.48
2025-06-13,11313.34,SOXL,08:03,TQQQ,15:55,TQQQ,SOXL,10690.46,-622.88,-5.51,5.96
2025-06-16,10690.46,SOXL,14:50,SOXL,15:55,SOXL,TQQQ,11238.21,547.75,5.12,1.14
2025-06-17,11238.21,SOXL,13:46,TQQQ,15:55,TQQQ,SOXL,10981.53,-256.68,-2.28,3.4
2025-06-18,10981.53,SOXL,13:33,TQQQ,15:55,TMF,SOXL,10974.65,-6.89,-0.06,3.46
2025-06-20,10974.65,SOXL,10:08,TQQQ,15:55,TQQQ,TMF,10914.51,-60.14,-0.55,3.99
2025-06-23,10914.51,TQQQ,07:26,TQQQ,15:55,TQQQ,TMF,10987.8,73.29,0.67,3.35
2025-06-24,10987.8,SOXL,no change,no change,15:55,SOXL,SOXL,11673.09,685.29,6.24,0.0
2025-06-25,11673.09,SOXL,no change,no change,no change,no change,SOXL,11938.29,265.2,2.27,0.0
2025-06-26,11938.29,SOXL,no change,no change,no change,no change,SOXL,12223.0,284.71,2.38,0.0
2025-06-27,12223.0,SOXL,no change,no change,no change,no change,SOXL,12167.0,-56.0,-0.46,0.46
2025-06-30,12167.0,SOXL,no change,no change,no change,no change,SOXL,12211.21,44.21,0.36,0.1
2025-07-01,12211.21,SOXL,no change,no change,no change,no change,SOXL,12067.21,-144.0,-1.18,1.27
2025-07-02,12067.21,SOXL,no change,no change,no change,no change,SOXL,12682.75,615.54,5.1,0.0
2025-07-03,12682.75,SOXL,no change,no change,no change,no change,SOXL,12816.53,133.78,1.05,0.0
2025-07-07,12816.53,SOXL,no change,no change,no change,no change,SOXL,12159.63,-656.91,-5.13,5.13
