Date,runtime_switch_loop_v1 Day End Equity,runtime_switch_loop_v1 PnL ($),runtime_switch_loop_v1 Return %,runtime_switch_loop_v1 Drawdown %,runtime_switch_loop_v2_controlplane Day End Equity,runtime_switch_loop_v2_controlplane PnL ($),runtime_switch_loop_v2_controlplane Return %,runtime_switch_loop_v2_controlplane Drawdown %,FEV1-0001 Day End Equity,FEV1-0001 PnL ($),FEV1-0001 Return %,FEV1-0001 Drawdown %
2025-08-27,14116.6,80.12,0.57,0.0,12951.23,73.5,0.57,3.78,12951.23,73.5,0.57,3.78
2025-08-28,14324.48,207.88,1.47,0.0,13141.95,190.72,1.47,2.36,13141.95,190.72,1.47,2.36
2025-08-29,12949.44,-1375.04,-9.6,9.6,11880.42,-1261.53,-9.6,11.73,11880.42,-1261.53,-9.6,11.73
2025-09-02,12640.92,-308.51,-2.38,11.75,11597.38,-283.05,-2.38,13.83,11597.38,-283.05,-2.38,13.83
2025-09-03,12415.92,-225.0,-1.78,13.32,11390.95,-206.43,-1.78,15.37,11390.95,-206.43,-1.78,15.37
2025-09-04,12804.14,388.22,3.13,10.61,11747.12,356.18,3.13,12.72,11747.12,356.18,3.13,12.72
2025-09-05,13247.46,443.32,3.46,7.52,12153.84,406.72,3.46,9.7,12153.84,406.72,3.46,9.7
2025-09-08,13543.03,295.56,2.23,5.46,12425.01,271.16,2.23,7.68,12425.01,271.16,2.23,7.68
2025-09-09,13600.63,57.61,0.43,5.05,12477.86,52.85,0.43,7.29,12477.86,52.85,0.43,7.29
2025-09-10,14332.0,731.37,5.38,0.0,13148.85,670.99,5.38,2.31,13148.85,670.99,5.38,2.31
2025-09-11,14582.49,250.48,1.75,0.0,13378.66,229.81,1.75,0.6,13378.66,229.81,1.75,0.6
2025-09-12,14704.76,122.27,0.84,0.0,13493.54,114.88,0.86,0.0,13493.54,114.88,0.86,0.0
2025-09-15,14436.13,-268.63,-1.83,1.83,13750.93,257.39,1.91,0.0,13750.93,257.39,1.91,0.0
2025-09-16,14133.73,-302.4,-2.09,3.88,14045.0,294.07,2.14,0.0,14045.0,294.07,2.14,0.0
2025-09-17,14120.73,-13.0,-0.09,3.97,14046.47,1.47,0.01,0.0,14046.47,1.47,0.01,0.0
2025-09-18,12689.32,-1431.41,-10.14,13.71,14860.24,813.77,5.79,0.0,14860.24,813.77,5.79,0.0
2025-09-19,12953.32,264.0,2.08,11.91,14561.89,-298.35,-2.01,2.01,14561.89,-298.35,-2.01,2.01
2025-09-22,12335.48,-617.84,-4.77,16.11,15253.61,691.72,4.75,0.0,15253.61,691.72,4.75,0.0
2025-09-23,12408.14,72.66,0.59,15.62,15158.59,-95.02,-0.62,0.62,15158.59,-95.02,-0.62,0.62
2025-09-24,12513.86,105.72,0.85,14.9,15056.93,-101.66,-0.67,1.29,15056.93,-101.66,-0.67,1.29
2025-09-25,12627.23,113.37,0.91,14.13,14926.54,-130.39,-0.87,2.14,14926.54,-130.39,-0.87,2.14
2025-09-26,12537.99,-89.24,-0.71,14.74,15019.36,92.82,0.62,1.54,15019.36,92.82,0.62,1.54
2025-09-29,12514.4,-23.59,-0.19,14.9,15050.3,30.94,0.21,1.33,15050.3,30.94,0.21,1.33
2025-09-30,12266.88,-247.52,-1.98,16.58,15361.91,311.61,2.07,0.0,15361.91,311.61,2.07,0.0
2025-10-01,11535.25,-731.63,-5.96,21.55,16296.76,934.84,6.09,0.0,16296.76,934.84,6.09,0.0
2025-10-02,10849.53,-685.72,-5.94,26.22,17249.28,952.52,5.84,0.0,17249.28,952.52,5.84,0.0
2025-10-03,10639.63,-209.9,-1.93,27.65,16915.56,-333.71,-1.93,1.93,16915.56,-333.71,-1.93,1.93
2025-10-06,11334.57,694.94,6.53,22.92,18020.42,1104.86,6.53,0.0,18020.42,1104.86,6.53,0.0
2025-10-07,10548.65,-785.92,-6.93,28.26,16770.92,-1249.5,-6.93,6.93,16770.92,-1249.5,-6.93,6.93
