Variant,Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
G1-412837,2026-03-27,92171.82,SOXL,no change,no change,no change,no change,SOXL,87656.36,-4515.46,-4.9,4.9,,
G1-412837,2026-03-30,87656.36,SOXL,no change,no change,no change,no change,SOXL,76753.41,-10902.95,-12.44,16.73,,
G1-412837,2026-03-31,76753.41,SOXL,10:09,SOXL,15:55,SOXL,SOXL,82325.76,5572.36,7.26,10.68,43.81,47.945
G1-412837,2026-04-01,82325.76,SOXL,14:02,SOXL,15:55,SOXL,SOXL,90807.41,8481.64,10.3,1.48,52.8081,52.205
G1-412837,2026-04-02,90807.41,SOXL,no change,no change,no change,no change,SOXL,91781.49,974.09,1.07,0.42,,
G1-412837,2026-04-06,91781.49,SOXL,no change,no change,no change,no change,SOXL,95156.0,3374.51,3.68,0.0,,
G1-412837,2026-04-07,95156.0,SOXL,19:33,SOXL,15:55,SOXL,SOXL,109822.66,14666.66,15.41,0.0,63.06,56.375
G1-412837,2026-04-08,109822.66,SOXL,07:15,SOXL,15:55,SOXL,SOXL,127223.94,17401.28,15.84,0.0,65.3,67.35
G1-412837,2026-04-09,127223.94,SOXL,no change,no change,no change,no change,SOXL,135866.1,8642.16,6.79,0.0,,
G1-412837,2026-04-10,135866.1,SOXL,no change,no change,no change,no change,SOXL,144385.47,8519.38,6.27,0.0,,
G1-570248,2025-04-10,10000.0,CASH,no change,no change,15:55,SQQQ,SQQQ,9999.0,-1.0,-0.01,0.01,,38.25
G1-570248,2025-04-11,9999.0,SQQQ,08:01,SQQQ,no change,no change,CASH,9529.05,-469.95,-4.7,4.71,37.63,
G1-570248,2025-04-14,9529.05,CASH,no change,no change,15:55,SPXS,SPXS,9528.09,-0.95,-0.01,4.72,,7.1898
G1-570248,2025-04-15,9528.09,SPXS,no change,no change,no change,no change,SPXS,9593.34,65.25,0.68,4.07,,
G1-570248,2025-04-16,9593.34,SPXS,no change,no change,15:55,TMV,TMV,10254.41,661.07,6.89,0.0,,37.41
G1-570248,2025-04-17,10254.41,TMV,no change,no change,no change,no change,TMV,10530.4,275.99,2.69,0.0,,
G1-570248,2025-04-21,10530.4,TMV,no change,no change,no change,no change,TMV,11074.45,544.06,5.17,0.0,,
G1-570248,2025-04-22,11074.45,TMV,no change,no change,15:55,SPXS,SPXS,10880.88,-193.57,-1.75,1.75,,7.665
G1-570248,2025-04-23,10880.88,SPXS,04:00,SPXS,15:55,SQQQ,SQQQ,10232.25,-648.64,-5.96,7.6,7.21,35.44
G1-570248,2025-04-24,10232.25,SQQQ,10:28,SQQQ,15:55,SPXS,SPXS,9749.6,-482.65,-4.72,11.96,33.775,6.815
G1-570248,2025-04-25,9749.6,SPXS,no change,no change,15:55,SPXL,SPXL,9568.34,-181.26,-1.86,13.6,,125.5236
G1-570248,2025-04-28,9568.34,SPXL,no change,no change,15:55,SPXS,SPXS,9640.96,72.62,0.76,12.94,,6.635
G1-570248,2025-04-29,9640.96,SPXS,no change,no change,15:55,TMV,TMV,9515.94,-125.02,-1.3,14.07,,35.208
