Window,Profile,Scenario,CPU Final Equity,CPU Return %,CPU Max Drawdown %,CPU Trades,Delta Return % vs S0,Delta Final Equity vs S0,Delta Trades vs S0,GPU Final Equity,GPU Return %,GPU Max Drawdown %,GPU Trades,CPU-GPU Diff (bps),Start Equity,Start Date,End Date,Data Source,GPU Backend
2m,trailing12_4_adapt,S5_profit_exec_market_close,21516.84355163604,115.16843551636042,18.910229886210157,28,-42.33726920792829,-4233.726920792829,-1,21516.84355163604,115.16843551636042,18.910229886210157,28,0.0,10000.0,2026-01-19,2026-03-19,yfinance,cpu_emulated_fallback
2m,trailing12_4_adapt,S6_runtime_like_bundle,21516.84355163604,115.16843551636042,18.910229886210157,27,-42.33726920792829,-4233.726920792829,-2,21516.84355163604,115.16843551636042,18.910229886210157,27,0.0,10000.0,2026-01-19,2026-03-19,yfinance,cpu_emulated_fallback
2m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S0_prev_like_baseline,30480.61119415648,204.8061119415648,18.894010310229806,32,0.0,0.0,0,30480.61119415648,204.8061119415648,18.894010310229806,32,0.0,10000.0,2026-01-19,2026-03-19,yfinance,cpu_emulated_fallback
2m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S1_threshold_5pct,30480.611194156478,204.80611194156478,18.894010310229806,31,-2.842170943040401e-14,-3.637978807091713e-12,-1,30480.611194156478,204.80611194156478,18.894010310229806,31,0.0,10000.0,2026-01-19,2026-03-19,yfinance,cpu_emulated_fallback
2m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S2_sequence_rebalance_then_profit,20795.085713200606,107.95085713200608,18.894010310229806,28,-96.85525480955873,-9685.525480955876,-4,20795.085713200606,107.95085713200608,18.894010310229806,28,0.0,10000.0,2026-01-19,2026-03-19,yfinance,cpu_emulated_fallback
2m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S3_anchor_off,30480.61119415648,204.8061119415648,18.894010310229806,32,0.0,0.0,0,30480.61119415648,204.8061119415648,18.894010310229806,32,0.0,10000.0,2026-01-19,2026-03-19,yfinance,cpu_emulated_fallback
2m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S4_zero_costs,30575.24754709353,205.7524754709353,18.894010310229806,32,0.946363529370501,94.6363529370501,0,30575.24754709353,205.7524754709353,18.894010310229806,32,0.0,10000.0,2026-01-19,2026-03-19,yfinance,cpu_emulated_fallback
2m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S5_profit_exec_market_close,21508.238535304707,115.08238535304707,18.910229886210157,32,-89.72372658851774,-8972.372658851775,0,21508.238535304707,115.08238535304707,18.910229886210157,32,0.0,10000.0,2026-01-19,2026-03-19,yfinance,cpu_emulated_fallback
2m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S6_runtime_like_bundle,21508.238535304707,115.08238535304707,18.910229886210157,31,-89.72372658851774,-8972.372658851775,-1,21508.238535304707,115.08238535304707,18.910229886210157,31,0.0,10000.0,2026-01-19,2026-03-19,yfinance,cpu_emulated_fallback
3m,original_composer,S0_prev_like_baseline,18559.373763461394,85.59373763461393,35.999998612837366,17,0.0,0.0,0,18559.373763461394,85.59373763461393,35.999998612837366,17,0.0,10000.0,2025-12-19,2026-03-19,yfinance,cpu_emulated_fallback
