candidate_id,burst_ret3d_min,burst_rv20_max,burst_dd20_max,riskoff_rv20_min,riskoff_crossovers20_min,riskoff_dd20_min,router_days_v1_all,router_days_v2_all,router_days_m0106_all,1m_meta_final,1m_meta_return,1m_meta_dd,1m_best_baseline_final,1m_best_baseline_dd,2m_meta_final,2m_meta_return,2m_meta_dd,2m_best_baseline_final,2m_best_baseline_dd,6m_meta_final,6m_meta_return,6m_meta_dd,6m_best_baseline_final,6m_best_baseline_dd,1y_meta_final,1y_meta_return,1y_meta_dd,1y_best_baseline_final,1y_best_baseline_dd,wins_vs_best_baseline,avg_uplift_pct_vs_best_baseline,avg_dd_over_best_baseline_pct,ranking_score
MRV1-0134,0.12,140.0,12.0,100.0,7,18.0,310,879,1051,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,27168.370296448287,171.68370296448288,29.16180267001183,45708.51371640169,17.36049286438656,0,-30.462713837353682,8.321536129146171,-329.5917467609753
MRV1-0136,0.12,140.0,12.0,100.0,9,18.0,310,916,1014,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,27168.370296448287,171.68370296448288,29.16180267001183,45708.51371640169,17.36049286438656,0,-30.462713837353682,8.321536129146171,-329.5917467609753
MRV1-0146,0.14,100.0,12.0,80.0,7,18.0,296,893,1051,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,27168.370296448287,171.68370296448288,29.16180267001183,45708.51371640169,17.36049286438656,0,-30.462713837353682,8.321536129146171,-329.5917467609753
MRV1-0148,0.14,100.0,12.0,80.0,9,18.0,296,930,1014,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,27168.370296448287,171.68370296448288,29.16180267001183,45708.51371640169,17.36049286438656,0,-30.462713837353682,8.321536129146171,-329.5917467609753
MRV1-0150,0.14,100.0,12.0,100.0,7,18.0,296,893,1051,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,27168.370296448287,171.68370296448288,29.16180267001183,45708.51371640169,17.36049286438656,0,-30.462713837353682,8.321536129146171,-329.5917467609753
MRV1-0152,0.14,100.0,12.0,100.0,9,18.0,296,930,1014,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,27168.370296448287,171.68370296448288,29.16180267001183,45708.51371640169,17.36049286438656,0,-30.462713837353682,8.321536129146171,-329.5917467609753
MRV1-0162,0.14,120.0,12.0,80.0,7,18.0,296,893,1051,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,27168.370296448287,171.68370296448288,29.16180267001183,45708.51371640169,17.36049286438656,0,-30.462713837353682,8.321536129146171,-329.5917467609753
MRV1-0164,0.14,120.0,12.0,80.0,9,18.0,296,930,1014,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,27168.370296448287,171.68370296448288,29.16180267001183,45708.51371640169,17.36049286438656,0,-30.462713837353682,8.321536129146171,-329.5917467609753
MRV1-0166,0.14,120.0,12.0,100.0,7,18.0,296,893,1051,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,27168.370296448287,171.68370296448288,29.16180267001183,45708.51371640169,17.36049286438656,0,-30.462713837353682,8.321536129146171,-329.5917467609753
MRV1-0168,0.14,120.0,12.0,100.0,9,18.0,296,930,1014,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,27168.370296448287,171.68370296448288,29.16180267001183,45708.51371640169,17.36049286438656,0,-30.462713837353682,8.321536129146171,-329.5917467609753
MRV1-0178,0.14,140.0,12.0,80.0,7,18.0,296,893,1051,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,14896.011472587821,48.9601147258782,29.161802670011888,25037.90044416518,17.360492864386565,27168.370296448287,171.68370296448288,29.16180267001183,45708.51371640169,17.36049286438656,0,-30.462713837353682,8.321536129146171,-329.5917467609753
