candidate_id,gate_ok_2y_proxy,score_proxy,long_diff_2y_vs_ov_proxy,mdd_2y_proxy,bias,a20,a60,b_rv,b_dd,temp,floor,ceil,1m_ret_proxy,2m_ret_proxy,3m_ret_proxy,4m_ret_proxy,5m_ret_proxy,6m_ret_proxy,1y_ret_proxy,2y_ret_proxy
G1-557367,True,-221.40609741210938,13.68927001953125,62.33013153076172,1.011674105229289,0.6719882414432171,-0.19060584576950373,0.1094162900369847,0.0,0.14069042549071936,0.25211810266590207,0.9118009481637656,79.18660736083984,135.88418579101562,143.23275756835938,180.40895080566406,409.87310791015625,376.2204284667969,933.2117309570312,861.294921875
G1-1088166,True,-221.42042541503906,19.2730712890625,62.32066345214844,0.41109176033731054,0.6852775492539281,-0.17327851133144492,0.09162706503173626,0.0,0.10859122937396326,0.24969339715195535,0.9145462732111485,79.08749389648438,135.75234985351562,142.99215698242188,180.21023559570312,410.14166259765625,376.6415100097656,935.5477294921875,866.8787231445312
G1-103925,True,-221.4960479736328,6.80902099609375,62.41411590576172,0.836396657590811,0.5937883507268985,-0.16815523712802036,0.08825957031690604,0.012807702121602819,0.20482922780791635,0.24900660180753864,0.9281491501854682,79.05941009521484,135.71498107910156,142.87850952148438,180.18951416015625,411.2803955078125,377.6296081542969,926.906982421875,854.4146728515625
G1-356091,True,-221.50054931640625,25.921875,62.4251594543457,1.1904332800054982,0.7290215110611209,-0.20856945129638718,0.13901175754052222,0.0,0.16210217967583831,0.23632874890943914,0.9489146786452987,78.54059600830078,135.02490234375,141.59930419921875,179.04039001464844,412.72100830078125,379.8016662597656,942.8336181640625,873.5275268554688
G1-070247,True,-221.5469207763672,4.72515869140625,63.007049560546875,0.5073499557418706,0.564455399749467,-0.13575512756302505,0.11490961695559229,0.0,0.243129863558714,0.24226158924448288,0.9741340101838162,78.78350830078125,135.34913635253906,142.07537841796875,179.42491149902344,412.0750427246094,378.4309387207031,940.1621704101562,852.330810546875
G1-236364,True,-221.58070373535156,6.07049560546875,62.227203369140625,1.4188092504618788,0.766537697434931,-0.21304248898304365,0.1380620761682415,0.0,0.04777551312510059,0.26453868017139365,0.878421352153992,79.69373321533203,136.55886840820312,144.535400390625,181.50079345703125,407.3239440917969,373.15106201171875,925.7874755859375,853.6761474609375
G1-822842,True,-221.59072875976562,19.1107177734375,62.29888916015625,0.3871691004882551,0.7145322216954582,-0.18122966327915238,0.09962524170859575,0.0,0.07892292586231553,0.2507076486806815,0.9100356150596903,79.12896728515625,135.8074951171875,143.10472106933594,180.30178833007812,409.7835693359375,376.269287109375,934.8228759765625,866.7163696289062
G1-335602,True,-221.6190643310547,19.18341064453125,62.4716682434082,1.3308341279323916,0.6679699898458719,-0.18065013534559368,0.12439622482206927,0.01671435699228161,0.25997165629383223,0.24243965043245908,0.9445062854977443,78.790771484375,135.3577117919922,142.1959228515625,179.27096557617188,411.775146484375,378.4559631347656,939.698486328125,866.7890625
G1-905407,True,-221.74801635742188,5.2513427734375,63.42660140991211,1.1458314510507814,0.7045153428896357,-0.1754468114314717,0.14527755546702414,0.022527049476117736,0.18899827221119953,0.23691851680071055,0.9549938987806141,78.56476593017578,135.05715942382812,141.634033203125,178.97914123535156,412.6387023925781,379.60638427734375,945.2122802734375,852.8569946289062
G1-1060654,True,-221.75161743164062,4.2623291015625,62.6873779296875,0.863100893038927,0.5507326484469152,-0.14136786846653532,0.07342463290289684,0.0,0.2203903310195705,0.2519349911933662,0.9607510655362947,79.17908477783203,135.87548828125,143.04310607910156,179.68136596679688,410.1947326660156,376.0226135253906,937.9580688476562,851.8679809570312
G1-975947,True,-221.80418395996094,6.12237548828125,62.307857513427734,0.9887447202968528,0.8005584845051358,-0.22982639577284708,0.11493289773961349,0.0,0.16722325422705825,0.256610464872994,0.9018089160813644,79.37010192871094,136.12828063964844,143.6961669921875,180.83505249023438,409.14111328125,375.2718505859375,925.8417358398438,853.72802734375
G1-132160,True,-221.80506896972656,3.68341064453125,63.761478424072266,0.6632295857035327,0.6036650527111728,-0.1485899490761776,0.039266261762159554,0.039728383599834355,0.11832888735486866,0.2299578002145824,0.9674297350265809,78.2795181274414,134.67767333984375,140.92886352539062,178.47657775878906,413.87652587890625,381.20599365234375,949.7020874023438,851.2890625
G1-596260,True,-221.8068389892578,4.38897705078125,62.31828308105469,0.8344200217166012,0.7570148251033985,-0.20016017189714203,0.07210449987662329,0.0,0.16009986816312682,0.2640864249450591,0.8917571621781804,79.67522430419922,136.5343017578125,144.444580078125,181.008056640625,407.62139892578125,373.33502197265625,926.9702758789062,851.99462890625
G1-1251156,True,-221.8069305419922,26.647705078125,62.53264617919922,0.4042463693874486,0.5780569126476833,-0.14051082979361024,0.08247132962536972,0.004889780007109663,0.10700611808987757,0.23784238582610334,0.9427256090507667,78.60257720947266,135.1073455810547,141.76507568359375,179.0872039794922,412.0408935546875,379.10162353515625,943.5556640625,874.2533569335938
G1-970671,True,-221.80831909179688,2.1072998046875,62.4776611328125,1.3364942604693724,0.6483133469961159,-0.1803152507031473,0.12574046779259823,0.03253895066791422,0.2303658561380171,0.2564100287719852,0.9054169122743955,79.36193084716797,136.11746215820312,143.66429138183594,180.7709197998047,409.36627197265625,375.46148681640625,925.312255859375,849.7129516601562
G1-392394,True,-221.81967163085938,35.0247802734375,62.412296295166016,0.8081844379090266,0.9005701408414207,-0.21880426940366343,0.18840182581639095,0.0,0.12168411151629369,0.23353402335626033,0.948310839706175,78.42606353759766,134.87252807617188,141.3357696533203,178.77471923828125,412.64697265625,379.965576171875,946.3592529296875,882.6304321289062
