candidate_id,gate_ok_2y,score,short_penalty_sum,short_excess_sum,long_diff_2y_vs_ov,bias,a20,a60,b_rv,b_dd,temp,floor,ceil,1m_ret,1m_mdd,2m_ret,2m_mdd,3m_ret,3m_mdd,4m_ret,4m_mdd,5m_ret,5m_mdd,6m_ret,6m_mdd,1y_ret,1y_mdd,2y_ret,2y_mdd
G1-488245,True,-142.698965241751,157.0565319344036,126.24420164920889,86.65732638658665,7.025905075167957,0.43621713783978744,-0.1818471122168237,0.13491828277761164,0.03637392456651254,0.11131803486148467,0.08625736448383292,0.853243099073639,98.67578037732268,8.97,161.8572299157333,16.33,196.02353160721657,24.33,236.12707182320443,25.02,336.65804268196916,25.02,326.21407154289824,25.02,960.0226094318023,47.95,934.2629999999999,60.89
G1-934916,True,-150.79564088442424,180.2679726200468,243.63147207890813,255.4592263865868,3.154717125586945,0.4755498960194093,-0.1639636740684859,0.25461041222766906,0.028699491791975798,0.18397337331579938,0.15411723335426372,0.710810174800738,89.82754395816887,8.16,149.78897811090408,25.15,153.03454713255604,25.8,222.02390878462208,25.8,390.1344476670166,25.8,374.30415488526637,25.8,1030.6405865856686,42.04,1103.0649,56.46
G1-068350,True,-159.48594415363726,174.19035138000226,120.18876698633238,134.27652638658685,2.4503196436969255,0.7025823940110734,-0.1549798187039052,0.5920639863368086,0.009842508779127802,0.06737830444607226,0.21663063865354362,0.8677449614423666,91.29898016993161,7.72,151.7627522294018,24.62,156.79560618076061,25.28,247.7327733004719,25.28,363.2969350127463,25.28,338.7370782525333,25.28,942.764958125826,44.79,981.8822000000001,58.49
G1-1346454,True,-159.7104509148103,179.22785000811643,166.78584565574408,141.9407263865868,4.545756074101382,0.6479442006102545,-0.1975767844903821,0.2750911493027133,0.12121902679892518,0.32156935873996173,0.1593698181204184,0.8839022435707743,89.95209296673703,8.1,149.95684728711444,25.4,152.36859672358673,26.04,233.68800657853427,26.04,379.88400470922556,26.04,358.38311034298806,26.04,969.7160047047829,42.42,989.5464000000001,56.69
G1-163611,True,-160.07298812639257,186.34325881227298,209.20290158148674,267.4990263865868,4.3776396725388285,0.5677696896672536,-0.19851837943926487,0.41219158270040135,0.012369863783123325,0.2386814209368896,0.12028254762532065,0.8685911640101392,89.02129783129584,8.56,148.70789472068316,25.88,149.51301924780873,26.51,222.91236541494646,26.51,388.5795622463073,26.51,370.308371851431,26.51,1000.2077991220826,41.24,1115.1047,55.82
G1-521625,True,-166.17444116632674,186.53498225847858,175.36434564420085,141.20532638658688,1.063403661935677,0.47893240431110257,-0.13272439252112156,0.13335262606982723,0.009511812791033148,0.2605365231963458,0.22961819179318732,0.6826949451323778,91.6016738581092,7.72,152.1695206835745,24.11,158.9469944091987,24.78,223.36115197137536,24.78,372.46307509257815,24.78,352.1980265127903,24.78,984.4795885234374,45.03,988.8110000000001,58.7
G1-400582,True,-169.84572964667777,194.80677652849516,165.83654354085667,418.86962638658656,6.678329331102271,0.537283287678019,-0.18495994636190005,0.4652292475503943,0.14425689275648,0.3670281676839909,0.09492448234596283,0.9305138633614187,88.41256271914646,8.87,147.8931063427133,26.36,147.0706367196816,26.99,227.91516814445134,26.99,378.9791478188266,26.99,363.4361435175592,26.99,963.7136694153244,28.43,1266.4752999999998,54.13
G1-988614,True,-181.17249323495798,194.80671605836676,119.1543429567705,85.93942638658666,6.820398377313856,0.44266996484927773,-0.16423128864428982,0.028473969742698557,0.025091865451230433,0.13232954089301424,0.1425542391845119,0.644984051885092,96.49770249359626,8.3,158.8692603224466,18.66,184.6327598974761,23.82,217.48255765197874,23.82,338.37322489919126,23.82,321.9500385596923,23.82,952.9327507393639,46.02,933.5450999999999,59.45
G1-117284,True,-181.58512588488585,200.82354589651544,125.3950948389786,334.9455263865866,6.099861609453852,0.6073297885763007,-0.17611768581070175,0.8481522945090942,0.01928974908895036,0.41285141162993894,0.06553136386935421,0.950009289748417,87.41134117015118,9.22,146.5596355407726,26.82,144.23443131925887,27.44,236.70918177815784,27.44,369.33926256845854,27.44,354.90830904296786,27.44,931.8000551880376,30.75,1182.5511999999999,55.52
G1-1184976,True,-187.75115717552922,204.78425226166146,134.5292455840052,179.0085263865867,1.379272234139533,0.6189634985984922,-0.1453339534713714,0.34257570847462515,0.007673654464950986,0.3123020187783034,0.18449321792116635,0.6977720252873305,90.54553585140272,7.8,150.7537318233101,24.73,155.42243245424626,25.38,224.87490772353968,25.38,358.6965381591543,25.38,341.98160303208266,25.38,953.8609119439494,41.61,1026.6142,56.13
