candidate_id,gate_ok_2y,score,short_penalty_sum,short_excess_sum,long_diff_2y_vs_OV,trail_scale,threshold_scale,stop_pct,rv_gate,overlay,1m_ret,1m_mdd,2m_ret,2m_mdd,3m_ret,3m_mdd,4m_ret,4m_mdd,5m_ret,5m_mdd,6m_ret,6m_mdd,1y_ret,1y_mdd,2y_ret,2y_mdd
P5-0015,False,-12728.003692986615,1880.8882929866145,0.0,-847.1153999999998,1.0,1.1,4.7,72.5,OV_sh7_h1_dd10w20_re1_SOXS,50.498654822597814,57.73,102.81798503506035,62.3,94.82098410874976,62.67,63.7085278701079,64.42,52.84954635582528,64.42,48.961274899465224,64.42,51.77233031792316,66.15,1.7549999999999955,72.89
P5-0029,False,-12728.154899792025,1978.4847997920251,0.0,-749.6700999999998,1.05,1.1,4.7,72.5,OV_sh6_h1_dd15w20_re1_SOXS,35.69336343287344,37.61,53.06780616972979,37.61,46.582793766708534,37.61,30.893345739270295,37.61,35.285484541347564,37.61,31.306717396334083,37.61,135.00328555805527,48.54,99.2003,69.35
P5-0034,False,-12728.154899792025,1978.4847997920251,0.0,-749.6700999999998,1.05,1.1,4.7,75.0,OV_sh6_h1_dd15w20_re1_SOXS,35.69336343287344,37.61,53.06780616972979,37.61,46.582793766708534,37.61,30.893345739270295,37.61,35.285484541347564,37.61,31.306717396334083,37.61,135.00328555805527,48.54,99.2003,69.35
P5-0074,False,-12728.392689122336,1970.4694891223378,0.0,-757.9231999999997,1.15,1.2,5.2,77.5,OV_sh6_h1_dd15w20_re1_SOXS,35.897839196230244,39.12,53.2736176876897,39.12,47.5033371236466,39.12,33.4430990840896,39.12,36.19920540382462,39.12,32.66818779337504,39.12,136.86282098515045,49.4,90.94720000000001,69.28
P5-0064,False,-12730.355311169595,1978.1217111695953,0.0,-752.2335999999998,1.15,1.1,4.7,75.0,OV_sh6_h1_dd15w20_re1_SOXS,37.38815720524018,38.75,54.031767218993586,38.75,46.60373180563955,38.75,30.37768638166196,38.75,34.75260803032805,38.75,32.18409812328331,38.75,132.8578364616022,48.24,96.63680000000001,69.12
P5-0060,False,-12736.898608136371,1883.62030813637,0.0,-853.2782999999998,1.1,1.2,5.2,75.0,OV_sh7_h1_dd10w20_re1_SOXS,50.726970847057814,61.51,102.82600715890693,64.58,94.78975842851173,64.93,63.17044527364031,67.0,51.11918060076419,67.0,47.65356622099202,67.0,52.41135973010118,69.27,-4.407900000000009,74.42
P5-0065,False,-12738.13767092864,1891.32667092864,0.0,-846.8109999999998,1.15,1.1,4.7,75.0,OV_sh7_h1_dd10w20_re1_SOXS,51.60248602206761,58.04,102.43534764895132,62.11,92.67287517722198,62.49,61.407986943051405,63.92,50.70146139636667,63.92,47.828832730533065,63.92,48.34193554951229,65.92,2.0594,72.14
P5-0010,False,-12740.564820915328,1884.850620915327,0.0,-855.7141999999998,1.0,1.0,4.7,72.5,OV_sh7_h1_dd10w20_re1_SOXS,50.49880206726196,61.31,102.81814638946764,65.48,95.75729811967824,65.82,64.49537801400282,67.59,53.58421757222844,67.59,48.523078934403884,67.59,45.79005438397434,67.91,-6.843799999999989,74.17
P5-0035,False,-12740.841523475872,1894.5036234758718,0.0,-846.3378999999998,1.05,1.1,4.7,75.0,OV_sh7_h1_dd10w20_re1_SOXS,49.73231966260303,57.24,101.16836869831367,61.7,92.64552809478536,62.08,61.71527890592099,63.75,50.98825462834793,63.75,46.54785521945195,63.75,49.01636771104929,65.26,2.532500000000004,72.17
P5-0030,False,-12744.05133616579,1894.6752361657914,0.0,-849.3760999999998,1.05,1.1,4.7,72.5,OV_sh7_h1_dd10w20_re1_SOXS,49.732347501282945,58.5,101.16846144825331,62.83,92.64555253716142,63.2,61.71545226845328,64.82,50.98846199956599,64.82,46.5478996052554,64.82,48.84418487058042,66.29,-0.5056999999999978,72.96
P5-0075,False,-12745.853889814505,1892.465689814506,0.0,-853.3881999999998,1.15,1.2,5.2,77.5,OV_sh7_h1_dd10w20_re1_SOXS,49.95806673514194,61.4,101.37848708090172,64.37,93.79732936059315,64.72,62.33886351812244,66.87,50.349095375312956,66.87,46.45115671968012,66.87,49.578907792085715,69.03,-4.517800000000005,74.14
P5-0014,False,-12746.16413143685,1992.2792314368514,0.0,-753.8848999999998,1.0,1.1,4.7,72.5,OV_sh6_h1_dd15w20_re1_SOXS,36.38773650168119,39.72,54.32306889889822,39.72,48.23815356029901,39.72,26.987833009653084,39.72,31.248923005675767,39.72,27.910172829334144,39.72,128.9424771539512,48.54,94.98549999999999,69.38
P5-0009,False,-12768.949141933794,1999.7266419337934,0.0,-769.2224999999997,1.0,1.0,4.7,72.5,OV_sh6_h1_dd15w20_re1_SOXS,36.38775115112911,39.43,54.323028116927794,39.43,48.95053524153652,39.43,27.59799733081616,39.43,31.8796427278887,39.43,27.5337739505761,39.43,119.91822594367628,48.21,79.64790000000002,69.18
P5-0018,False,-12789.26192229474,1935.686122294739,0.0,-853.5757999999998,1.0,1.1,5.2,72.5,OV_sh6_h1_dd10w20_re1_SOXS,45.54415675062273,60.19,95.14905276695261,63.3,85.86452380487992,63.67,51.91426002563397,65.08,40.69423918194877,65.08,36.15556619207165,65.08,55.30967537949534,66.41,-4.7054000000000045,75.0
P5-0020,False,-12818.878256153701,1955.0888561537008,0.0,-863.7893999999998,1.0,1.1,5.2,72.5,OV_sh7_h1_dd10w20_re1_SOXS,45.54409037723326,64.45,95.14930765013912,67.24,85.86458346986836,67.56,51.914351880784,68.82,40.69416906583676,68.82,36.155741902445286,68.82,35.906495896336565,69.04,-14.918999999999993,74.49
P5-0019,False,-12836.807383138475,2057.108783138475,0.0,-779.6985999999998,1.0,1.1,5.2,72.5,OV_sh6_h1_dd15w20_re1_SOXS,31.897860356760543,43.48,48.4878833175195,43.48,41.42327971115416,43.48,19.881883904945873,43.48,22.357997305071553,43.48,18.410846337716148,43.48,106.74906232470147,50.06,69.1718,69.54
P5-0003,False,-12864.591422501997,2010.0821225019972,0.0,-854.5092999999998,1.0,1.0,4.2,72.5,OV_sh6_h1_dd10w20_re1_SOXS,40.76329933631983,57.74,77.76980246983356,60.51,66.38442535798859,60.51,41.28408910556058,61.37,32.60450422851107,61.37,28.907549938115263,61.37,48.52180345801822,63.72,-5.638899999999991,74.5
P5-0023,False,-12875.798319855425,2019.255819855425,0.0,-856.5424999999998,1.05,1.0,4.2,72.5,OV_sh6_h1_dd10w20_re1_SOXS,40.04671869430352,58.53,76.50413311616313,61.08,65.31346351490237,61.08,40.23134977832525,61.96,31.61646889772087,61.96,27.295626793216087,61.96,46.05401574628769,63.98,-7.672099999999993,74.62
