window,order_type,period,cpu_final_equity,cpu_return_pct,cpu_pnl,cpu_maxdd_pct,gpu_final_equity,gpu_return_pct,gpu_pnl,gpu_maxdd_pct,cpu_gpu_diff_bps,profit_lock_exec_model_effective
1y,close_position,2025-03-21 to 2026-03-21,29084.448475975674,190.84448475975674,19084.448475975674,32.89683036508181,29084.448475975674,190.84448475975674,19084.448475975674,32.89683036508181,0.0,synthetic
1y,market_order,2025-03-21 to 2026-03-21,29084.448475975674,190.84448475975674,19084.448475975674,32.89683036508181,29084.448475975674,190.84448475975674,19084.448475975674,32.89683036508181,0.0,synthetic
1y,stop_order,2025-03-21 to 2026-03-21,20714.833662759167,107.14833662759169,10714.833662759167,45.08926788459735,20714.833662759167,107.14833662759169,10714.833662759167,45.08926788459735,0.0,synthetic
1y,trailing_stop,2025-03-21 to 2026-03-21,21851.35948008673,118.51359480086727,11851.359480086729,45.749834636407485,21851.35948008673,118.51359480086727,11851.359480086729,45.749834636407485,0.0,synthetic
2y,close_position,2024-03-21 to 2026-03-21,17030.95837731234,70.30958377312342,7030.958377312341,52.09485555138766,17030.95837731234,70.30958377312342,7030.958377312341,52.09485555138766,0.0,synthetic
2y,market_order,2024-03-21 to 2026-03-21,17030.95837731234,70.30958377312342,7030.958377312341,52.09485555138766,17030.95837731234,70.30958377312342,7030.958377312341,52.09485555138766,0.0,synthetic
2y,stop_order,2024-03-21 to 2026-03-21,14835.28723128897,48.352872312889694,4835.28723128897,45.3215822879635,14835.28723128897,48.352872312889694,4835.28723128897,45.3215822879635,0.0,synthetic
2y,trailing_stop,2024-03-21 to 2026-03-21,17293.02699552553,72.93026995525531,7293.026995525532,45.87821301780002,17293.02699552553,72.93026995525531,7293.026995525532,45.87821301780002,0.0,synthetic
3y,close_position,2023-03-21 to 2026-03-21,8497.687731087968,-15.023122689120317,-1502.3122689120319,86.66026033556913,8497.687731087968,-15.023122689120317,-1502.3122689120319,86.66026033556913,0.0,synthetic
3y,market_order,2023-03-21 to 2026-03-21,8497.687731087968,-15.023122689120317,-1502.3122689120319,86.66026033556913,8497.687731087968,-15.023122689120317,-1502.3122689120319,86.66026033556913,0.0,synthetic
3y,stop_order,2023-03-21 to 2026-03-21,6129.121497997956,-38.70878502002044,-3870.878502002044,86.43370209550332,6129.121497997956,-38.70878502002044,-3870.878502002044,86.43370209550332,0.0,synthetic
3y,trailing_stop,2023-03-21 to 2026-03-21,7679.4436716011205,-23.205563283988795,-2320.5563283988795,83.79029960943804,7679.4436716011205,-23.205563283988795,-2320.5563283988795,83.79029960943804,0.0,synthetic
5y,close_position,2021-03-21 to 2026-03-21,14233.963267702893,42.33963267702894,4233.963267702893,86.6602603355691,14233.963267702893,42.33963267702894,4233.963267702893,86.6602603355691,0.0,synthetic
5y,market_order,2021-03-21 to 2026-03-21,14233.963267702893,42.33963267702894,4233.963267702893,86.6602603355691,14233.963267702893,42.33963267702894,4233.963267702893,86.6602603355691,0.0,synthetic
5y,stop_order,2021-03-21 to 2026-03-21,11873.807757167519,18.738077571675184,1873.8077571675185,86.4337020955033,11873.807757167519,18.738077571675184,1873.8077571675185,86.4337020955033,0.0,synthetic
5y,trailing_stop,2021-03-21 to 2026-03-21,15697.888549794112,56.97888549794112,5697.888549794112,83.79029960943801,15697.888549794112,56.97888549794112,5697.888549794112,83.79029960943801,0.0,synthetic
