file,exec_requested,exec_effective,order_type,daily_parity_enabled,paper_live_style_daily_synth_profile,split_adjust_enabled,warmup_days_effective,cpu_final_equity,cpu_return_pct,cpu_maxdd_pct,cpu_events,diff_final_vs_backtest,abs_diff_final_vs_backtest,diff_return_pp_vs_backtest,abs_diff_return_pp_vs_backtest,diff_maxdd_pp_vs_backtest,is_exact_match
combo_1y_exec_market_close_ot_close_position_dsp_on_pldsp_on_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_close,close_position,True,True,False,550,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,43036.12826927029,-430.36128269270284,430.36128269270284,8.70791343935982,False
combo_1y_exec_market_close_ot_market_order_dsp_off_pldsp_on_anch_off_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_close,market_order,True,True,False,550,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,43036.12826927029,-430.36128269270284,430.36128269270284,8.70791343935982,False
combo_1y_exec_market_close_ot_market_order_dsp_off_pldsp_on_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_close,market_order,True,True,False,550,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,43036.12826927029,-430.36128269270284,430.36128269270284,8.70791343935982,False
combo_1y_exec_market_close_ot_market_order_dsp_on_pldsp_off_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_close,market_order,True,False,False,550,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,43036.12826927029,-430.36128269270284,430.36128269270284,8.70791343935982,False
combo_1y_exec_market_close_ot_market_order_dsp_on_pldsp_on_anch_off_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_close,market_order,True,True,False,550,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,43036.12826927029,-430.36128269270284,430.36128269270284,8.70791343935982,False
combo_1y_exec_market_close_ot_market_order_dsp_on_pldsp_on_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_close,market_order,True,True,False,550,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,43036.12826927029,-430.36128269270284,430.36128269270284,8.70791343935982,False
combo_1y_exec_market_close_ot_stop_order_dsp_off_pldsp_on_anch_off_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_close,stop_order,True,True,False,550,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,43036.12826927029,-430.36128269270284,430.36128269270284,8.70791343935982,False
combo_1y_exec_market_close_ot_stop_order_dsp_off_pldsp_on_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_close,stop_order,True,True,False,550,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,43036.12826927029,-430.36128269270284,430.36128269270284,8.70791343935982,False
combo_1y_exec_market_close_ot_stop_order_dsp_on_pldsp_off_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_close,stop_order,True,False,False,550,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,43036.12826927029,-430.36128269270284,430.36128269270284,8.70791343935982,False
combo_1y_exec_market_close_ot_stop_order_dsp_on_pldsp_on_anch_off_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_close,stop_order,True,True,False,550,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,43036.12826927029,-430.36128269270284,430.36128269270284,8.70791343935982,False
combo_1y_exec_market_close_ot_stop_order_dsp_on_pldsp_on_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_close,stop_order,True,True,False,550,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,43036.12826927029,-430.36128269270284,430.36128269270284,8.70791343935982,False
combo_1y_exec_market_close_ot_trailing_stop_dsp_off_pldsp_on_anch_off_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_close,trailing_stop,True,True,False,550,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,43036.12826927029,-430.36128269270284,430.36128269270284,8.70791343935982,False
combo_1y_exec_market_close_ot_trailing_stop_dsp_off_pldsp_on_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_close,trailing_stop,True,True,False,550,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,43036.12826927029,-430.36128269270284,430.36128269270284,8.70791343935982,False
combo_1y_exec_market_close_ot_trailing_stop_dsp_on_pldsp_off_anch_on_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_close,trailing_stop,True,False,False,550,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,43036.12826927029,-430.36128269270284,430.36128269270284,8.70791343935982,False
combo_1y_exec_market_close_ot_trailing_stop_dsp_on_pldsp_on_anch_off_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_market_close.json,market_close,market_close,trailing_stop,True,True,False,550,32845.2242288356,228.45224228835602,24.21549797519643,265,-43036.12826927029,43036.12826927029,-430.36128269270284,430.36128269270284,8.70791343935982,False
